"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	21	297227	7.1
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	45	288604	15.6
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	32	328389	9.7
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	46	314366	14.6
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	26	339135	7.7
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	43	320096	13.4
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	10	241277	4.1 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	11	172295	6.4 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	"Female"	"F"	11	162871	6.8 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	"Male"	"M"	35	163368	21.4
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Female"	"F"	26	300430	8.7
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	63	290631	21.7
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	49	328049	14.9
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	55	314657	17.5
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	36	345733	10.4
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	48	326177	14.7
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	"Female"	"F"	22	273519	8.0
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	12	250793	4.8 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	"Male"	"M"	21	174268	12.1
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	"Male"	"M"	35	163868	21.4
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	37	302088	12.2
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	56	291564	19.2
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	55	325948	16.9
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	88	313008	28.1
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	65	350063	18.6
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	56	330732	16.9
	"Alabama"	"01"	"2007"	"2007"	"55-64 years"	"55-64"	"Female"	"F"	34	282783	12.0
	"Alabama"	"01"	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	25	259292	9.6
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	"Male"	"M"	11	176205	6.2 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	"Female"	"F"	11	164263	6.7 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	27	164488	16.4
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Female"	"F"	47	304221	15.4
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	102	294555	34.6
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	80	322821	24.8
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	66	309813	21.3
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	96	353830	27.1
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	67	334324	20.0
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Female"	"F"	40	290035	13.8
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	42	266305	15.8
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	"Female"	"F"	15	166287	9.0 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	"Male"	"M"	33	165830	19.9
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	50	306876	16.3
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	95	298675	31.8
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	86	319030	27.0
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	89	307619	28.9
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	77	355380	21.7
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	70	337354	20.7
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	39	298994	13.0
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	29	273893	10.6
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	12	167802	7.2 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	20	167520	11.9
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Female"	"F"	44	308782	14.2
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	96	300140	32.0
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	60	315716	19.0
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	78	303785	25.7
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	82	356026	23.0
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	68	337828	20.1
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	"Female"	"F"	22	306797	7.2
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	30	281236	10.7
	"Alabama"	"01"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	34	172845	19.7
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	44	312150	14.1
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	81	302547	26.8
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	53	311986	17.0
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	78	298147	26.2
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	89	352714	25.2
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	67	333358	20.1
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	27	318760	8.5
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	29	291881	9.9
	"Alabama"	"01"	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	13	205378	6.3 (Unreliable)
	"Alabama"	"01"	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	12	174575	6.9 (Unreliable)
	"Alabama"	"01"	"2012"	"2012"	"15-19 years"	"15-19"	"Male"	"M"	11	165425	6.6 (Unreliable)
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	11	176382	6.2 (Unreliable)
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	28	175915	15.9
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	45	313612	14.3
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	87	303651	28.7
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Female"	"F"	51	311369	16.4
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	89	296825	30.0
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	77	346736	22.2
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	67	327879	20.4
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	"Female"	"F"	27	321751	8.4
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	35	293995	11.9
	"Alabama"	"01"	"2012"	"2012"	"65-74 years"	"65-74"	"Male"	"M"	10	185452	5.4 (Unreliable)
	"Alabama"	"01"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	27	177789	15.2
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Female"	"F"	55	315221	17.4
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	99	305459	32.4
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	62	311081	19.9
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	85	296319	28.7
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	70	341447	20.5
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	67	323159	20.7
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	"Female"	"F"	43	325796	13.2
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	43	296872	14.5
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	11	175341	6.3 (Unreliable)
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	39	177058	22.0
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	58	318218	18.2
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	108	308304	35.0
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	75	310580	24.1
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	94	294781	31.9
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	89	337176	26.4
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	83	319038	26.0
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	67	329543	20.3
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	53	299948	17.7
	"Alabama"	"01"	"2014"	"2014"	"65-74 years"	"65-74"	"Female"	"F"	16	234216	6.8 (Unreliable)
	"Alabama"	"01"	"2014"	"2014"	"65-74 years"	"65-74"	"Male"	"M"	10	201012	5.0 (Unreliable)
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	20	170945	11.7
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	30	172676	17.4
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Female"	"F"	49	321456	15.2
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Male"	"M"	102	311270	32.8
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	"Female"	"F"	74	309233	23.9
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	"Male"	"M"	108	293263	36.8
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	98	333918	29.3
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	105	315524	33.3
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	"Female"	"F"	52	334123	15.6
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	55	303874	18.1
	"Alabama"	"01"	"2015"	"2015"	"65-74 years"	"65-74"	"Male"	"M"	11	208032	5.3 (Unreliable)
	"Alaska"	"02"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	10	56817	17.6 (Unreliable)
	"Alaska"	"02"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	10	60064	16.6 (Unreliable)
	"Alaska"	"02"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	11	55631	19.8 (Unreliable)
	"Alaska"	"02"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	11	54205	20.3 (Unreliable)
	"Alaska"	"02"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	14	56799	24.6 (Unreliable)
	"Alaska"	"02"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	19	52680	36.1 (Unreliable)
	"Alaska"	"02"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	17	55096	30.9 (Unreliable)
	"Alaska"	"02"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	12	48717	24.6 (Unreliable)
	"Alaska"	"02"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	18	54127	33.3 (Unreliable)
	"Alaska"	"02"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	16	51238	31.2 (Unreliable)
	"Alaska"	"02"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	16	53163	30.1 (Unreliable)
	"Alaska"	"02"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	11	55511	19.8 (Unreliable)
	"Alaska"	"02"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	17	50313	33.8 (Unreliable)
	"Alaska"	"02"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	10	52304	19.1 (Unreliable)
	"Alaska"	"02"	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	13	51561	25.2 (Unreliable)
	"Alaska"	"02"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	10	48993	20.4 (Unreliable)
	"Alaska"	"02"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	12	51602	23.3 (Unreliable)
	"Alaska"	"02"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	16	57268	27.9 (Unreliable)
	"Alaska"	"02"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	15	50456	29.7 (Unreliable)
	"Alaska"	"02"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	13	58001	22.4 (Unreliable)
	"Alaska"	"02"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	12	47787	25.1 (Unreliable)
	"Alaska"	"02"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	11	49529	22.2 (Unreliable)
	"Alaska"	"02"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	14	53770	26.0 (Unreliable)
	"Alaska"	"02"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	11	57906	19.0 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	10	30307	33.0 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	16	49815	32.1 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	13	45515	28.6 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	18	48780	36.9 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	14	53660	26.1 (Unreliable)
	"Alaska"	"02"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	24	57503	41.7
	"Alaska"	"02"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	11	50970	21.6 (Unreliable)
	"Alaska"	"02"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	17	47509	35.8 (Unreliable)
	"Alaska"	"02"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	20	54045	37.0
	"Alaska"	"02"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	25	58273	42.9
	"Alaska"	"02"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	13	44312	29.3 (Unreliable)
	"Alaska"	"02"	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	11	44597	24.7 (Unreliable)
	"Alaska"	"02"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	11	48377	22.7 (Unreliable)
	"Alaska"	"02"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	18	57686	31.2 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	15	56017	26.8 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	12	44167	27.2 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	13	47600	27.3 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	11	52106	21.1 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	20	56531	35.4
	"Alaska"	"02"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	10	47672	21.0 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	16	52591	30.4 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	19	59017	32.2 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"35-44 years"	"35-44"	"Female"	"F"	15	44138	34.0 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	11	47742	23.0 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	13	50459	25.8 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	22	54912	40.1
	"Alaska"	"02"	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	10	48243	20.7 (Unreliable)
	"Alaska"	"02"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	20	62236	32.1
	"Alaska"	"02"	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	11	43593	25.2 (Unreliable)
	"Alaska"	"02"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	20	47493	42.1
	"Alaska"	"02"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	15	52569	28.5 (Unreliable)
	"Alaska"	"02"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	13	48484	26.8 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	18	63892	28.2 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	12	43114	27.8 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	20	46968	42.6
	"Alaska"	"02"	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	13	46644	27.9 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	11	50830	21.6 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	11	44672	24.6 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	12	48291	24.8 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	10	36647	27.3 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"25-34 years"	"25-34"	"Female"	"F"	12	55213	21.7 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"25-34 years"	"25-34"	"Male"	"M"	22	65273	33.7
	"Alaska"	"02"	"2015"	"2015"	"35-44 years"	"35-44"	"Male"	"M"	12	47139	25.5 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	11	45280	24.3 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	14	49160	28.5 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	13	48464	26.8 (Unreliable)
	"Arizona"	"04"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	20	184588	10.8
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	31	354781	8.7
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	75	383757	19.5
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	45	376826	11.9
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	153	384610	39.8
	"Arizona"	"04"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	31	308541	10.0
	"Arizona"	"04"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	94	296226	31.7
	"Arizona"	"04"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	12	224305	5.3 (Unreliable)
	"Arizona"	"04"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	11	203442	5.4 (Unreliable)
	"Arizona"	"04"	"2000"	"2000"	"20-24 years"	"20-24"	"Male"	"M"	19	191136	9.9 (Unreliable)
	"Arizona"	"04"	"2000"	"2000"	"25-34 years"	"25-34"	"Female"	"F"	24	355573	6.7
	"Arizona"	"04"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	83	387073	21.4
	"Arizona"	"04"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	51	380122	13.4
