"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Arizona"	"04"	"1999"	"1999"	511	5023823	10.2	10.5
	"Arizona"	"04"	"2000"	"2000"	522	5130632	10.2	10.6
	"Arizona"	"04"	"2001"	"2001"	552	5273477	10.5	10.9
	"Arizona"	"04"	"2002"	"2002"	624	5396255	11.6	12.0
	"Arizona"	"04"	"2003"	"2003"	674	5510364	12.2	12.7
	"Arizona"	"04"	"2004"	"2004"	744	5652404	13.2	13.7
	"Arizona"	"04"	"2005"	"2005"	794	5839077	13.6	14.1
	"Arizona"	"04"	"2006"	"2006"	876	6029141	14.5	14.9
	"Arizona"	"04"	"2007"	"2007"	943	6167681	15.3	15.7
	"Arizona"	"04"	"2008"	"2008"	828	6280362	13.2	13.5
	"Arizona"	"04"	"2009"	"2009"	1002	6343154	15.8	16.1
	"Arizona"	"04"	"2010"	"2010"	1098	6392017	17.2	17.5
	"Arizona"	"04"	"2011"	"2011"	1071	6468732	16.6	16.9
	"Arizona"	"04"	"2012"	"2012"	1134	6553262	17.3	17.7
	"Arizona"	"04"	"2013"	"2013"	1222	6630799	18.4	18.7
	"Arizona"	"04"	"2014"	"2014"	1211	6728783	18.0	18.2
	"Arizona"	"04"	"2015"	"2015"	1274	6828065	18.7	19.0
	"Arkansas"	"05"	"1999"	"1999"	113	2651860	4.3	4.4
	"Arkansas"	"05"	"2000"	"2000"	140	2673400	5.2	5.4
	"Arkansas"	"05"	"2001"	"2001"	126	2691571	4.7	4.8
	"Arkansas"	"05"	"2002"	"2002"	176	2705927	6.5	6.8
	"Arkansas"	"05"	"2003"	"2003"	184	2724816	6.8	7.0
	"Arkansas"	"05"	"2004"	"2004"	230	2749686	8.4	8.6
	"Arkansas"	"05"	"2005"	"2005"	269	2781097	9.7	10.1
	"Arkansas"	"05"	"2006"	"2006"	285	2821761	10.1	10.5
	"Arkansas"	"05"	"2007"	"2007"	301	2848650	10.6	10.9
	"Arkansas"	"05"	"2008"	"2008"	360	2874554	12.5	13.1
	"Arkansas"	"05"	"2009"	"2009"	351	2896843	12.1	12.6
	"Arkansas"	"05"	"2010"	"2010"	350	2915918	12.0	12.5
	"Arkansas"	"05"	"2011"	"2011"	355	2938538	12.1	12.6
	"Arkansas"	"05"	"2012"	"2012"	373	2949499	12.6	13.1
	"Arkansas"	"05"	"2013"	"2013"	319	2957957	10.8	11.1
	"Arkansas"	"05"	"2014"	"2014"	356	2966835	12.0	12.6
	"Arkansas"	"05"	"2015"	"2015"	392	2978204	13.2	13.8
	"California"	"06"	"1999"	"1999"	2662	33499204	7.9	8.1
	"California"	"06"	"2000"	"2000"	1941	33871648	5.7	5.8
	"California"	"06"	"2001"	"2001"	1226	34479458	3.6	3.6
	"California"	"06"	"2002"	"2002"	2975	34871843	8.5	8.7
	"California"	"06"	"2003"	"2003"	3108	35253159	8.8	8.9
	"California"	"06"	"2004"	"2004"	3125	35574576	8.8	8.8
	"California"	"06"	"2005"	"2005"	3214	35827943	9.0	9.0
	"California"	"06"	"2006"	"2006"	3494	36021202	9.7	9.6
	"California"	"06"	"2007"	"2007"	3854	36250311	10.6	10.5
	"California"	"06"	"2008"	"2008"	3863	36604337	10.6	10.4
	"California"	"06"	"2009"	"2009"	4056	36961229	11.0	10.7
	"California"	"06"	"2010"	"2010"	4057	37253956	10.9	10.6
	"California"	"06"	"2011"	"2011"	4180	37700034	11.1	10.7
	"California"	"06"	"2012"	"2012"	4040	38056055	10.6	10.2
	"California"	"06"	"2013"	"2013"	4452	38414128	11.6	11.1
	"California"	"06"	"2014"	"2014"	4521	38792291	11.7	11.1
	"California"	"06"	"2015"	"2015"	4659	39144818	11.9	11.3
	"Colorado"	"08"	"1999"	"1999"	349	4226018	8.3	8.0
	"Colorado"	"08"	"2000"	"2000"	352	4301261	8.2	7.9
	"Colorado"	"08"	"2001"	"2001"	411	4425687	9.3	9.0
	"Colorado"	"08"	"2002"	"2002"	448	4490406	10.0	9.7
	"Colorado"	"08"	"2003"	"2003"	502	4528732	11.1	10.7
	"Colorado"	"08"	"2004"	"2004"	518	4575013	11.3	10.9
	"Colorado"	"08"	"2005"	"2005"	608	4631888	13.1	12.7
	"Colorado"	"08"	"2006"	"2006"	627	4720423	13.3	12.8
	"Colorado"	"08"	"2007"	"2007"	734	4803868	15.3	14.7
	"Colorado"	"08"	"2008"	"2008"	749	4889730	15.3	14.8
	"Colorado"	"08"	"2009"	"2009"	769	4972195	15.5	15.0
	"Colorado"	"08"	"2010"	"2010"	654	5029196	13.0	12.7
	"Colorado"	"08"	"2011"	"2011"	843	5119480	16.5	16.1
	"Colorado"	"08"	"2012"	"2012"	807	5191731	15.5	15.0
	"Colorado"	"08"	"2013"	"2013"	846	5271132	16.0	15.5
	"Colorado"	"08"	"2014"	"2014"	899	5355588	16.8	16.3
	"Colorado"	"08"	"2015"	"2015"	869	5456574	15.9	15.4
	"Connecticut"	"09"	"1999"	"1999"	310	3386401	9.2	9.0
	"Connecticut"	"09"	"2000"	"2000"	320	3405565	9.4	9.2
	"Connecticut"	"09"	"2001"	"2001"	307	3432835	8.9	8.8
	"Connecticut"	"09"	"2002"	"2002"	354	3458749	10.2	10.3
	"Connecticut"	"09"	"2003"	"2003"	307	3484336	8.8	8.8
	"Connecticut"	"09"	"2004"	"2004"	333	3496094	9.5	9.6
	"Connecticut"	"09"	"2005"	"2005"	295	3506956	8.4	8.5
	"Connecticut"	"09"	"2006"	"2006"	407	3517460	11.6	11.5
	"Connecticut"	"09"	"2007"	"2007"	433	3527270	12.3	12.2
	"Connecticut"	"09"	"2008"	"2008"	386	3545579	10.9	10.7
	"Connecticut"	"09"	"2009"	"2009"	393	3561807	11.0	11.0
	"Connecticut"	"09"	"2010"	"2010"	363	3574097	10.2	10.1
	"Connecticut"	"09"	"2011"	"2011"	402	3589759	11.2	11.2
	"Connecticut"	"09"	"2012"	"2012"	439	3593541	12.2	12.0
	"Connecticut"	"09"	"2013"	"2013"	582	3597168	16.2	16.0
	"Connecticut"	"09"	"2014"	"2014"	623	3594762	17.3	17.6
	"Connecticut"	"09"	"2015"	"2015"	800	3590886	22.3	22.1
	"Delaware"	"10"	"1999"	"1999"	50	774990	6.5	6.4
	"Delaware"	"10"	"2000"	"2000"	55	783600	7.0	7.0
	"Delaware"	"10"	"2001"	"2001"	64	795699	8.0	8.0
	"Delaware"	"10"	"2002"	"2002"	84	806169	10.4	10.5
	"Delaware"	"10"	"2003"	"2003"	77	818003	9.4	9.4
	"Delaware"	"10"	"2004"	"2004"	63	830803	7.6	7.6
	"Delaware"	"10"	"2005"	"2005"	62	845150	7.3	7.5
	"Delaware"	"10"	"2006"	"2006"	78	859268	9.1	9.4
	"Delaware"	"10"	"2007"	"2007"	97	871749	11.1	11.4
	"Delaware"	"10"	"2008"	"2008"	124	883874	14.0	14.3
	"Delaware"	"10"	"2009"	"2009"	136	891730	15.3	15.4
	"Delaware"	"10"	"2010"	"2010"	145	897934	16.1	16.6
	"Delaware"	"10"	"2011"	"2011"	160	907916	17.6	17.6
	"Delaware"	"10"	"2012"	"2012"	141	917099	15.4	15.2
	"Delaware"	"10"	"2013"	"2013"	166	925353	17.9	18.7
	"Delaware"	"10"	"2014"	"2014"	189	935968	20.2	20.9
	"Delaware"	"10"	"2015"	"2015"	198	945934	20.9	22.0
	"District of Columbia"	"11"	"1999"	"1999"	48	570213	8.4	8.3
	"District of Columbia"	"11"	"2000"	"2000"	76	572059	13.3	13.4
	"District of Columbia"	"11"	"2001"	"2001"	93	574504	16.2	16.2
	"District of Columbia"	"11"	"2002"	"2002"	61	573158	10.6	10.9
	"District of Columbia"	"11"	"2003"	"2003"	103	568502	18.1	18.1
	"District of Columbia"	"11"	"2004"	"2004"	87	567754	15.3	15.5
	"District of Columbia"	"11"	"2005"	"2005"	77	567136	13.6	13.6
	"District of Columbia"	"11"	"2006"	"2006"	101	570681	17.7	17.8
	"District of Columbia"	"11"	"2007"	"2007"	61	574404	10.6	10.8
	"District of Columbia"	"11"	"2008"	"2008"	56	580236	9.7	9.6
	"District of Columbia"	"11"	"2009"	"2009"	26	592228	4.4	4.1
	"District of Columbia"	"11"	"2010"	"2010"	78	601723	13.0	13.0
	"District of Columbia"	"11"	"2011"	"2011"	86	620472	13.9	13.4
	"District of Columbia"	"11"	"2012"	"2012"	77	635342	12.1	12.4
	"District of Columbia"	"11"	"2013"	"2013"	102	649540	15.7	14.9
	"District of Columbia"	"11"	"2014"	"2014"	96	659836	14.5	14.2
	"District of Columbia"	"11"	"2015"	"2015"	125	672228	18.6	18.5
	"Florida"	"12"	"1999"	"1999"	997	15759421	6.3	6.4
	"Florida"	"12"	"2000"	"2000"	1159	15982378	7.3	7.4
	"Florida"	"12"	"2001"	"2001"	1746	16356966	10.7	10.9
	"Florida"	"12"	"2002"	"2002"	1927	16689370	11.5	11.8
	"Florida"	"12"	"2003"	"2003"	2054	17004085	12.1	12.4
	"Florida"	"12"	"2004"	"2004"	2264	17415318	13.0	13.2
	"Florida"	"12"	"2005"	"2005"	2371	17842038	13.3	13.6
	"Florida"	"12"	"2006"	"2006"	2591	18166990	14.3	14.4
	"Florida"	"12"	"2007"	"2007"	2794	18367842	15.2	15.4
	"Florida"	"12"	"2008"	"2008"	2963	18527305	16.0	16.2
	"Florida"	"12"	"2009"	"2009"	3092	18652644	16.6	16.7
	"Florida"	"12"	"2010"	"2010"	3061	18801310	16.3	16.4
	"Florida"	"12"	"2011"	"2011"	2918	19105533	15.3	15.3
	"Florida"	"12"	"2012"	"2012"	2597	19352021	13.4	13.2
	"Florida"	"12"	"2013"	"2013"	2474	19594467	12.6	12.5
	"Florida"	"12"	"2014"	"2014"	2634	19905569	13.2	13.2
	"Florida"	"12"	"2015"	"2015"	3228	20271272	15.9	16.2
	"Georgia"	"13"	"1999"	"1999"	283	8045965	3.5	3.5
	"Georgia"	"13"	"2000"	"2000"	364	8186453	4.4	4.4
	"Georgia"	"13"	"2001"	"2001"	511	8377038	6.1	6.0
	"Georgia"	"13"	"2002"	"2002"	563	8508256	6.6	6.5
	"Georgia"	"13"	"2003"	"2003"	607	8622793	7.0	6.9
	"Georgia"	"13"	"2004"	"2004"	666	8769252	7.6	7.5
	"Georgia"	"13"	"2005"	"2005"	738	8925922	8.3	8.2
	"Georgia"	"13"	"2006"	"2006"	830	9155813	9.1	8.9
	"Georgia"	"13"	"2007"	"2007"	923	9349988	9.9	9.7
	"Georgia"	"13"	"2008"	"2008"	935	9504843	9.8	9.7
	"Georgia"	"13"	"2009"	"2009"	1007	9620846	10.5	10.3
	"Georgia"	"13"	"2010"	"2010"	1054	9687653	10.9	10.7
	"Georgia"	"13"	"2011"	"2011"	1058	9812280	10.8	10.7
	"Georgia"	"13"	"2012"	"2012"	1056	9917639	10.6	10.6
	"Georgia"	"13"	"2013"	"2013"	1098	9991562	11.0	10.8
	"Georgia"	"13"	"2014"	"2014"	1206	10097132	11.9	11.9
	"Georgia"	"13"	"2015"	"2015"	1302	10214860	12.7	12.7
	"Hawaii"	"15"	"1999"	"1999"	80	1210300	6.6	6.5
	"Hawaii"	"15"	"2000"	"2000"	63	1211537	5.2	5.2
	"Hawaii"	"15"	"2001"	"2001"	77	1225948	6.3	6.2
	"Hawaii"	"15"	"2002"	"2002"	77	1239613	6.2	6.1
	"Hawaii"	"15"	"2003"	"2003"	92	1251154	7.4	7.1
	"Hawaii"	"15"	"2004"	"2004"	103	1273569	8.1	8.0
	"Hawaii"	"15"	"2005"	"2005"	126	1292729	9.7	9.4
	"Hawaii"	"15"	"2006"	"2006"	86	1309731	6.6	6.4
	"Hawaii"	"15"	"2007"	"2007"	136	1315675	10.3	10.0
	"Hawaii"	"15"	"2008"	"2008"	123	1332213	9.2	9.0
	"Hawaii"	"15"	"2009"	"2009"	136	1346717	10.1	9.6
	"Hawaii"	"15"	"2010"	"2010"	151	1360301	11.1	10.9
	"Hawaii"	"15"	"2011"	"2011"	180	1378227	13.1	12.4
	"Hawaii"	"15"	"2012"	"2012"	155	1392641	11.1	11.0
	"Hawaii"	"15"	"2013"	"2013"	158	1408765	11.2	11.0
	"Hawaii"	"15"	"2014"	"2014"	157	1420257	11.1	10.8
	"Hawaii"	"15"	"2015"	"2015"	169	1431603	11.8	11.3
	"Idaho"	"16"	"1999"	"1999"	64	1275674	5.0	5.3
	"Idaho"	"16"	"2000"	"2000"	64	1293953	4.9	5.1
	"Idaho"	"16"	"2001"	"2001"	98	1319962	7.4	7.8
	"Idaho"	"16"	"2002"	"2002"	117	1340372	8.7	9.1
	"Idaho"	"16"	"2003"	"2003"	102	1363380	7.5	7.9
	"Idaho"	"16"	"2004"	"2004"	98	1391802	7.0	7.4
	"Idaho"	"16"	"2005"	"2005"	109	1428241	7.6	8.0
	"Idaho"	"16"	"2006"	"2006"	130	1468669	8.9	9.3
	"Idaho"	"16"	"2007"	"2007"	126	1505105	8.4	8.6
	"Idaho"	"16"	"2008"	"2008"	146	1534320	9.5	9.8
	"Idaho"	"16"	"2009"	"2009"	171	1554439	11.0	11.6
	"Idaho"	"16"	"2010"	"2010"	178	1567582	11.4	11.8
	"Idaho"	"16"	"2011"	"2011"	193	1584134	12.2	12.9
	"Idaho"	"16"	"2012"	"2012"	181	1596097	11.3	11.9
	"Idaho"	"16"	"2013"	"2013"	207	1612785	12.8	13.4
	"Idaho"	"16"	"2014"	"2014"	212	1634806	13.0	13.7
	"Idaho"	"16"	"2015"	"2015"	218	1654930	13.2	14.2
	"Illinois"	"17"	"1999"	"1999"	825	12359020	6.7	6.7
	"Illinois"	"17"	"2000"	"2000"	868	12419293	7.0	7.0
	"Illinois"	"17"	"2001"	"2001"	892	12488445	7.1	7.1
	"Illinois"	"17"	"2002"	"2002"	986	12525556	7.9	7.9
	"Illinois"	"17"	"2003"	"2003"	847	12556006	6.7	6.8
	"Illinois"	"17"	"2004"	"2004"	1035	12589773	8.2	8.3
	"Illinois"	"17"	"2005"	"2005"	1067	12609903	8.5	8.4
	"Illinois"	"17"	"2006"	"2006"	1369	12643955	10.8	10.9
	"Illinois"	"17"	"2007"	"2007"	1192	12695866	9.4	9.4
	"Illinois"	"17"	"2008"	"2008"	1353	12747038	10.6	10.6
	"Illinois"	"17"	"2009"	"2009"	1381	12796778	10.8	10.8
	"Illinois"	"17"	"2010"	"2010"	1288	12830632	10.0	10.0
	"Illinois"	"17"	"2011"	"2011"	1408	12861882	10.9	10.9
	"Illinois"	"17"	"2012"	"2012"	1628	12875167	12.6	12.5
	"Illinois"	"17"	"2013"	"2013"	1579	12889580	12.3	12.1
	"Illinois"	"17"	"2014"	"2014"	1705	12882189	13.2	13.1
	"Illinois"	"17"	"2015"	"2015"	1835	12859995	14.3	14.1
	"Indiana"	"18"	"1999"	"1999"	191	6044969	3.2	3.2
	"Indiana"	"18"	"2000"	"2000"	214	6080485	3.5	3.5
	"Indiana"	"18"	"2001"	"2001"	283	6127760	4.6	4.7
	"Indiana"	"18"	"2002"	"2002"	293	6155967	4.8	4.8
	"Indiana"	"18"	"2003"	"2003"	434	6196638	7.0	7.1
	"Indiana"	"18"	"2004"	"2004"	542	6233007	8.7	8.8
	"Indiana"	"18"	"2005"	"2005"	610	6278616	9.7	9.8
	"Indiana"	"18"	"2006"	"2006"	736	6332669	11.6	11.8
	"Indiana"	"18"	"2007"	"2007"	781	6379599	12.2	12.4
	"Indiana"	"18"	"2008"	"2008"	830	6424806	12.9	13.2
	"Indiana"	"18"	"2009"	"2009"	896	6459325	13.9	14.0
	"Indiana"	"18"	"2010"	"2010"	927	6483802	14.3	14.4
	"Indiana"	"18"	"2011"	"2011"	975	6516845	15.0	15.3
	"Indiana"	"18"	"2012"	"2012"	1011	6538283	15.5	16.0
	"Indiana"	"18"	"2013"	"2013"	1064	6570518	16.2	16.6
	"Indiana"	"18"	"2014"	"2014"	1172	6597880	17.8	18.2
	"Indiana"	"18"	"2015"	"2015"	1245	6619680	18.8	19.5
	"Iowa"	"19"	"1999"	"1999"	53	2917634	1.8	1.9
	"Iowa"	"19"	"2000"	"2000"	73	2926324	2.5	2.5
	"Iowa"	"19"	"2001"	"2001"	87	2931997	3.0	3.0
	"Iowa"	"19"	"2002"	"2002"	91	2934234	3.1	3.1
	"Iowa"	"19"	"2003"	"2003"	96	2941999	3.3	3.4
	"Iowa"	"19"	"2004"	"2004"	122	2953635	4.1	4.2
	"Iowa"	"19"	"2005"	"2005"	141	2964454	4.8	4.9
	"Iowa"	"19"	"2006"	"2006"	187	2982644	6.3	6.6
	"Iowa"	"19"	"2007"	"2007"	203	2999212	6.8	6.9
	"Iowa"	"19"	"2008"	"2008"	209	3016734	6.9	7.2
	"Iowa"	"19"	"2009"	"2009"	207	3032870	6.8	7.1
	"Iowa"	"19"	"2010"	"2010"	253	3046355	8.3	8.6
	"Iowa"	"19"	"2011"	"2011"	250	3065389	8.2	8.4
	"Iowa"	"19"	"2012"	"2012"	259	3076636	8.4	8.6
	"Iowa"	"19"	"2013"	"2013"	275	3092224	8.9	9.3
	"Iowa"	"19"	"2014"	"2014"	264	3109481	8.5	8.8
	"Iowa"	"19"	"2015"	"2015"	309	3123899	9.9	10.3
	"Kansas"	"20"	"1999"	"1999"	89	2678338	3.3	3.4
	"Kansas"	"20"	"2000"	"2000"	103	2688418	3.8	4.0
	"Kansas"	"20"	"2001"	"2001"	138	2702162	5.1	5.3
	"Kansas"	"20"	"2002"	"2002"	170	2713535	6.3	6.5
	"Kansas"	"20"	"2003"	"2003"	188	2723004	6.9	7.1
	"Kansas"	"20"	"2004"	"2004"	224	2734373	8.2	8.5
	"Kansas"	"20"	"2005"	"2005"	241	2745299	8.8	9.1
	"Kansas"	"20"	"2006"	"2006"	257	2762931	9.3	9.5
	"Kansas"	"20"	"2007"	"2007"	270	2783785	9.7	10.0
	"Kansas"	"20"	"2008"	"2008"	219	2808076	7.8	8.0
	"Kansas"	"20"	"2009"	"2009"	304	2832704	10.7	11.1
	"Kansas"	"20"	"2010"	"2010"	269	2853118	9.4	9.6
	"Kansas"	"20"	"2011"	"2011"	280	2869917	9.8	10.1
	"Kansas"	"20"	"2012"	"2012"	318	2886281	11.0	11.5
	"Kansas"	"20"	"2013"	"2013"	331	2894630	11.4	11.9
	"Kansas"	"20"	"2014"	"2014"	332	2902507	11.4	11.8
	"Kansas"	"20"	"2015"	"2015"	329	2911641	11.3	11.9
	"Kentucky"	"21"	"1999"	"1999"	197	4018053	4.9	4.9
	"Kentucky"	"21"	"2000"	"2000"	241	4041769	6.0	5.9
	"Kentucky"	"21"	"2001"	"2001"	345	4068132	8.5	8.4
	"Kentucky"	"21"	"2002"	"2002"	426	4089875	10.4	10.4
	"Kentucky"	"21"	"2003"	"2003"	560	4117170	13.6	13.6
	"Kentucky"	"21"	"2004"	"2004"	526	4146101	12.7	12.8
	"Kentucky"	"21"	"2005"	"2005"	638	4182742	15.3	15.3
	"Kentucky"	"21"	"2006"	"2006"	728	4219239	17.3	17.4
	"Kentucky"	"21"	"2007"	"2007"	708	4256672	16.6	16.7
	"Kentucky"	"21"	"2008"	"2008"	764	4289878	17.8	18.0
	"Kentucky"	"21"	"2009"	"2009"	769	4317074	17.8	18.0
	"Kentucky"	"21"	"2010"	"2010"	1007	4339367	23.2	23.6
	"Kentucky"	"21"	"2011"	"2011"	1058	4367882	24.2	25.0
	"Kentucky"	"21"	"2012"	"2012"	1078	4382667	24.6	24.9
	"Kentucky"	"21"	"2013"	"2013"	1019	4398500	23.2	23.7
	"Kentucky"	"21"	"2014"	"2014"	1077	4412617	24.4	24.8
	"Kentucky"	"21"	"2015"	"2015"	1273	4425092	28.8	29.9
	"Louisiana"	"22"	"1999"	"1999"	188	4460811	4.2	4.3
	"Louisiana"	"22"	"2000"	"2000"	248	4468976	5.5	5.6
	"Louisiana"	"22"	"2001"	"2001"	265	4477875	5.9	6.0
	"Louisiana"	"22"	"2002"	"2002"	365	4497267	8.1	8.3
	"Louisiana"	"22"	"2003"	"2003"	536	4521042	11.9	12.1
	"Louisiana"	"22"	"2004"	"2004"	539	4552238	11.8	12.1
	"Louisiana"	"22"	"2005"	"2005"	661	4576628	14.4	14.7
	"Louisiana"	"22"	"2006"	"2006"	705	4302665	16.4	16.5
	"Louisiana"	"22"	"2007"	"2007"	808	4375581	18.5	18.8
	"Louisiana"	"22"	"2008"	"2008"	647	4435586	14.6	14.9
	"Louisiana"	"22"	"2009"	"2009"	584	4491648	13.0	13.1
	"Louisiana"	"22"	"2010"	"2010"	591	4533372	13.0	13.2
	"Louisiana"	"22"	"2011"	"2011"	601	4575381	13.1	13.4
	"Louisiana"	"22"	"2012"	"2012"	566	4603676	12.3	12.3
	"Louisiana"	"22"	"2013"	"2013"	809	4627491	17.5	17.8
	"Louisiana"	"22"	"2014"	"2014"	777	4648990	16.7	16.9
	"Louisiana"	"22"	"2015"	"2015"	861	4670724	18.4	19.0
	"Maine"	"23"	"1999"	"1999"	67	1266808	5.3	5.3
	"Maine"	"23"	"2000"	"2000"	61	1274923	4.8	4.8
	"Maine"	"23"	"2001"	"2001"	85	1285692	6.6	6.5
	"Maine"	"23"	"2002"	"2002"	139	1295960	10.7	10.9
	"Maine"	"23"	"2003"	"2003"	133	1306513	10.2	10.3
	"Maine"	"23"	"2004"	"2004"	140	1313688	10.7	10.9
	"Maine"	"23"	"2005"	"2005"	163	1318787	12.4	12.4
	"Maine"	"23"	"2006"	"2006"	159	1323619	12.0	12.0
	"Maine"	"23"	"2007"	"2007"	159	1327040	12.0	12.4
	"Maine"	"23"	"2008"	"2008"	162	1330509	12.2	12.3
	"Maine"	"23"	"2009"	"2009"	173	1329590	13.0	12.8
	"Maine"	"23"	"2010"	"2010"	135	1328361	10.2	10.4
	"Maine"	"23"	"2011"	"2011"	156	1328257	11.7	11.8
	"Maine"	"23"	"2012"	"2012"	150	1328888	11.3	11.5
	"Maine"	"23"	"2013"	"2013"	174	1328778	13.1	13.2
	"Maine"	"23"	"2014"	"2014"	216	1330256	16.2	16.8
	"Maine"	"23"	"2015"	"2015"	269	1329328	20.2	21.2
	"Maryland"	"24"	"1999"	"1999"	629	5254509	12.0	11.4
	"Maryland"	"24"	"2000"	"2000"	623	5296486	11.8	11.3
	"Maryland"	"24"	"2001"	"2001"	639	5374691	11.9	11.5
	"Maryland"	"24"	"2002"	"2002"	723	5440389	13.3	12.9
	"Maryland"	"24"	"2003"	"2003"	779	5496269	14.2	13.8
	"Maryland"	"24"	"2004"	"2004"	676	5546935	12.2	11.9
	"Maryland"	"24"	"2005"	"2005"	656	5592379	11.7	11.4
	"Maryland"	"24"	"2006"	"2006"	762	5627367	13.5	13.1
	"Maryland"	"24"	"2007"	"2007"	769	5653408	13.6	13.2
	"Maryland"	"24"	"2008"	"2008"	693	5684965	12.2	11.7
	"Maryland"	"24"	"2009"	"2009"	743	5730388	13.0	12.4
	"Maryland"	"24"	"2010"	"2010"	650	5773552	11.3	11.0
	"Maryland"	"24"	"2011"	"2011"	707	5844171	12.1	11.7
	"Maryland"	"24"	"2012"	"2012"	831	5890740	14.1	13.7
	"Maryland"	"24"	"2013"	"2013"	892	5936040	15.0	14.6
	"Maryland"	"24"	"2014"	"2014"	1070	5975346	17.9	17.4
	"Maryland"	"24"	"2015"	"2015"	1285	6006401	21.4	20.9
	"Massachusetts"	"25"	"1999"	"1999"	488	6317345	7.7	7.5
	"Massachusetts"	"25"	"2000"	"2000"	463	6349097	7.3	7.1
	"Massachusetts"	"25"	"2001"	"2001"	689	6397634	10.8	10.5
	"Massachusetts"	"25"	"2002"	"2002"	705	6417206	11.0	10.7
	"Massachusetts"	"25"	"2003"	"2003"	823	6422565	12.8	12.6
	"Massachusetts"	"25"	"2004"	"2004"	669	6412281	10.4	10.3
	"Massachusetts"	"25"	"2005"	"2005"	780	6403290	12.2	12.0
	"Massachusetts"	"25"	"2006"	"2006"	970	6410084	15.1	14.7
	"Massachusetts"	"25"	"2007"	"2007"	922	6431559	14.3	14.0
	"Massachusetts"	"25"	"2008"	"2008"	786	6468967	12.2	11.9
	"Massachusetts"	"25"	"2009"	"2009"	816	6517613	12.5	12.2
	"Massachusetts"	"25"	"2010"	"2010"	738	6547629	11.3	11.0
	"Massachusetts"	"25"	"2011"	"2011"	857	6611797	13.0	12.7
	"Massachusetts"	"25"	"2012"	"2012"	859	6657780	12.9	12.7
	"Massachusetts"	"25"	"2013"	"2013"	1081	6708810	16.1	16.0
	"Massachusetts"	"25"	"2014"	"2014"	1289	6755124	19.1	19.0
	"Massachusetts"	"25"	"2015"	"2015"	1724	6794422	25.4	25.7
	"Michigan"	"26"	"1999"	"1999"	460	9897116	4.6	4.6
	"Michigan"	"26"	"2000"	"2000"	561	9938444	5.6	5.6
	"Michigan"	"26"	"2001"	"2001"	621	9991120	6.2	6.2
	"Michigan"	"26"	"2002"	"2002"	751	10015710	7.5	7.5
	"Michigan"	"26"	"2003"	"2003"	761	10041152	7.6	7.6
	"Michigan"	"26"	"2004"	"2004"	867	10055315	8.6	8.7
	"Michigan"	"26"	"2005"	"2005"	985	10051137	9.8	9.8
	"Michigan"	"26"	"2006"	"2006"	1176	10036081	11.7	11.7
	"Michigan"	"26"	"2007"	"2007"	1236	10001284	12.4	12.2
