"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Causes"	"Drug/Alcohol Induced Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"Dallas County, AL"	"01047"	"2015"	"2015"	"All Other Causes"	"O"	539	41131	1310.4	1199.8	1421.1	1125.3	1027.8	1222.8	0.0%
	"DeKalb County, AL"	"01049"	"2015"	"2015"	"Drug-Induced Causes"	"D"	21	71130	29.5	18.3	45.1	28.0	17.1	43.2	0.0%
	"DeKalb County, AL"	"01049"	"2015"	"2015"	"All Other Causes"	"O"	803	71130	1128.9	1050.8	1207.0	997.9	927.6	1068.1	0.0%
	"Elmore County, AL"	"01051"	"2015"	"2015"	"All Other Causes"	"O"	752	81468	923.1	857.1	989.0	896.1	831.1	961.2	0.0%
	"Escambia County, AL"	"01053"	"2015"	"2015"	"Drug-Induced Causes"	"D"	10	37789	Unreliable	12.7	48.7	Unreliable	11.8	45.2	0.0%
	"Escambia County, AL"	"01053"	"2015"	"2015"	"All Other Causes"	"O"	470	37789	1243.7	1131.3	1356.2	1034.1	939.2	1129.0	0.0%
	"Etowah County, AL"	"01055"	"2015"	"2015"	"Drug-Induced Causes"	"D"	24	103057	23.3	14.9	34.7	25.3	16.0	37.9	0.0%
	"Etowah County, AL"	"01055"	"2015"	"2015"	"All Other Causes"	"O"	1406	103057	1364.3	1293.0	1435.6	1066.4	1009.7	1123.1	0.1%
	"Fayette County, AL"	"01057"	"2015"	"2015"	"All Other Causes"	"O"	227	16759	1354.5	1178.3	1530.7	985.2	853.2	1117.1	0.0%
	"Franklin County, AL"	"01059"	"2015"	"2015"	"All Other Causes"	"O"	373	31696	1176.8	1057.4	1296.2	1014.9	910.6	1119.2	0.0%
	"Geneva County, AL"	"01061"	"2015"	"2015"	"All Other Causes"	"O"	338	26777	1262.3	1127.7	1396.8	929.6	828.0	1031.2	0.0%
	"Greene County, AL"	"01063"	"2015"	"2015"	"All Other Causes"	"O"	113	8479	1332.7	1087.0	1578.4	1014.4	813.0	1215.8	0.0%
	"Hale County, AL"	"01065"	"2015"	"2015"	"All Other Causes"	"O"	169	15068	1121.6	952.5	1290.7	848.1	716.9	979.2	0.0%
	"Henry County, AL"	"01067"	"2015"	"2015"	"All Other Causes"	"O"	225	17221	1306.5	1135.8	1477.3	916.3	792.3	1040.4	0.0%
	"Houston County, AL"	"01069"	"2015"	"2015"	"Drug-Induced Causes"	"D"	15	104173	Unreliable	8.1	23.7	Unreliable	7.5	22.9	0.0%
	"Houston County, AL"	"01069"	"2015"	"2015"	"All Other Causes"	"O"	1064	104173	1021.4	960.0	1082.8	854.7	802.6	906.7	0.0%
	"Jackson County, AL"	"01071"	"2015"	"2015"	"All Other Causes"	"O"	713	52419	1360.2	1260.4	1460.0	1025.4	948.2	1102.6	0.0%
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Drug-Induced Causes"	"D"	187	660367	28.3	24.3	32.4	29.5	25.2	33.8	0.0%
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	44	660367	6.7	4.8	8.9	5.9	4.3	8.0	0.0%
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"All Other Causes"	"O"	6951	660367	1052.6	1027.9	1077.3	905.7	884.0	927.4	0.3%
	"Lamar County, AL"	"01075"	"2015"	"2015"	"All Other Causes"	"O"	200	13886	1440.3	1240.7	1639.9	980.5	840.2	1120.9	0.0%
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	92596	Unreliable	5.9	21.3	Unreliable	4.9	18.9	0.0%
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	"All Other Causes"	"O"	1086	92596	1172.8	1103.1	1242.6	882.9	829.2	936.6	0.0%
	"Lawrence County, AL"	"01079"	"2015"	"2015"	"All Other Causes"	"O"	414	33115	1250.2	1129.8	1370.6	1031.4	929.1	1133.7	0.0%
	"Lee County, AL"	"01081"	"2015"	"2015"	"Drug-Induced Causes"	"D"	17	156993	Unreliable	6.3	17.3	Unreliable	7.1	20.0	0.0%
	"Lee County, AL"	"01081"	"2015"	"2015"	"All Other Causes"	"O"	990	156993	630.6	591.3	669.9	781.3	731.5	831.1	0.0%
	"Limestone County, AL"	"01083"	"2015"	"2015"	"All Other Causes"	"O"	766	91663	835.7	776.5	894.8	806.3	748.1	864.5	0.0%
	"Lowndes County, AL"	"01085"	"2015"	"2015"	"All Other Causes"	"O"	123	10458	1176.1	968.3	1384.0	1005.9	821.5	1190.3	0.0%
	"Macon County, AL"	"01087"	"2015"	"2015"	"All Other Causes"	"O"	228	19105	1193.4	1038.5	1348.3	958.8	828.8	1088.8	0.0%
	"Madison County, AL"	"01089"	"2015"	"2015"	"Drug-Induced Causes"	"D"	49	353089	13.9	10.3	18.3	14.0	10.3	18.6	0.0%
	"Madison County, AL"	"01089"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	18	353089	Unreliable	3.0	8.1	Unreliable	2.9	8.0	0.0%
	"Madison County, AL"	"01089"	"2015"	"2015"	"All Other Causes"	"O"	2953	353089	836.3	806.2	866.5	769.0	741.0	797.1	0.1%
	"Marengo County, AL"	"01091"	"2015"	"2015"	"All Other Causes"	"O"	251	20028	1253.2	1098.2	1408.3	921.4	802.9	1039.8	0.0%
	"Marion County, AL"	"01093"	"2015"	"2015"	"All Other Causes"	"O"	438	30168	1451.9	1315.9	1587.8	1027.6	928.5	1126.6	0.0%
	"Marshall County, AL"	"01095"	"2015"	"2015"	"Drug-Induced Causes"	"D"	24	94725	25.3	16.2	37.7	25.9	16.4	38.9	0.0%
	"Marshall County, AL"	"01095"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	13	94725	Unreliable	7.3	23.5	Unreliable	5.9	20.0	0.0%
	"Marshall County, AL"	"01095"	"2015"	"2015"	"All Other Causes"	"O"	1077	94725	1137.0	1069.1	1204.9	965.5	906.9	1024.1	0.0%
	"Mobile County, AL"	"01097"	"2015"	"2015"	"Drug-Induced Causes"	"D"	74	415395	17.8	14.0	22.4	18.2	14.2	23.0	0.0%
	"Mobile County, AL"	"01097"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	30	415395	7.2	4.9	10.3	6.5	4.3	9.4	0.0%
	"Mobile County, AL"	"01097"	"2015"	"2015"	"All Other Causes"	"O"	4181	415395	1006.5	976.0	1037.0	900.5	872.8	928.3	0.2%
	"Monroe County, AL"	"01099"	"2015"	"2015"	"All Other Causes"	"O"	265	21673	1222.7	1075.5	1369.9	951.1	832.6	1069.6	0.0%
	"Montgomery County, AL"	"01101"	"2015"	"2015"	"Drug-Induced Causes"	"D"	17	226519	Unreliable	4.4	12.0	Unreliable	4.2	11.9	0.0%
	"Montgomery County, AL"	"01101"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	226519	Unreliable	2.4	8.7	Unreliable	2.3	8.7	0.0%
	"Montgomery County, AL"	"01101"	"2015"	"2015"	"All Other Causes"	"O"	2140	226519	944.7	904.7	984.8	881.1	843.3	918.9	0.1%
	"Morgan County, AL"	"01103"	"2015"	"2015"	"Drug-Induced Causes"	"D"	28	119565	23.4	15.6	33.8	22.8	15.0	33.2	0.0%
	"Morgan County, AL"	"01103"	"2015"	"2015"	"All Other Causes"	"O"	1297	119565	1084.8	1025.7	1143.8	914.5	864.0	964.9	0.0%
	"Perry County, AL"	"01105"	"2015"	"2015"	"All Other Causes"	"O"	120	9652	1243.3	1020.8	1465.7	965.1	784.9	1145.3	0.0%
	"Pickens County, AL"	"01107"	"2015"	"2015"	"All Other Causes"	"O"	266	20864	1274.9	1121.7	1428.1	991.5	870.1	1113.0	0.0%
	"Pike County, AL"	"01109"	"2015"	"2015"	"All Other Causes"	"O"	296	33046	895.7	793.7	997.8	844.3	746.1	942.6	0.0%
	"Randolph County, AL"	"01111"	"2015"	"2015"	"All Other Causes"	"O"	314	22696	1383.5	1230.5	1536.5	1020.4	903.7	1137.0	0.0%
	"Russell County, AL"	"01113"	"2015"	"2015"	"Drug-Induced Causes"	"D"	10	59660	Unreliable	8.0	30.8	Unreliable	8.2	31.4	0.0%
	"Russell County, AL"	"01113"	"2015"	"2015"	"All Other Causes"	"O"	638	59660	1069.4	986.4	1152.4	1074.6	990.1	1159.2	0.0%
	"St. Clair County, AL"	"01115"	"2015"	"2015"	"Drug-Induced Causes"	"D"	22	87074	25.3	15.8	38.3	25.8	15.9	39.4	0.0%
	"St. Clair County, AL"	"01115"	"2015"	"2015"	"All Other Causes"	"O"	882	87074	1012.9	946.1	1079.8	910.4	848.9	972.0	0.0%
	"Shelby County, AL"	"01117"	"2015"	"2015"	"Drug-Induced Causes"	"D"	44	208713	21.1	15.3	28.3	22.1	16.1	29.7	0.0%
	"Shelby County, AL"	"01117"	"2015"	"2015"	"All Other Causes"	"O"	1297	208713	621.4	587.6	655.2	622.6	588.1	657.2	0.0%
	"Sumter County, AL"	"01119"	"2015"	"2015"	"All Other Causes"	"O"	156	13103	1190.6	1003.7	1377.4	1021.1	849.6	1192.6	0.0%
	"Talladega County, AL"	"01121"	"2015"	"2015"	"Drug-Induced Causes"	"D"	12	80862	Unreliable	7.7	25.9	Unreliable	7.7	25.9	0.0%
	"Talladega County, AL"	"01121"	"2015"	"2015"	"All Other Causes"	"O"	997	80862	1233.0	1156.4	1309.5	1043.1	976.8	1109.4	0.0%
	"Tallapoosa County, AL"	"01123"	"2015"	"2015"	"All Other Causes"	"O"	450	40844	1101.8	1000.0	1203.5	828.3	749.2	907.5	0.0%
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	"Drug-Induced Causes"	"D"	28	203976	13.7	9.1	19.8	14.2	9.3	20.8	0.0%
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	10	203976	Unreliable	2.4	9.0	Unreliable	2.3	9.4	0.0%
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	"All Other Causes"	"O"	1723	203976	844.7	804.8	884.6	897.3	854.2	940.4	0.1%
	"Walker County, AL"	"01127"	"2015"	"2015"	"Drug-Induced Causes"	"D"	12	65294	Unreliable	9.5	32.1	Unreliable	9.3	33.3	0.0%
	"Walker County, AL"	"01127"	"2015"	"2015"	"All Other Causes"	"O"	1036	65294	1586.7	1490.1	1683.3	1267.8	1188.3	1347.3	0.0%
	"Washington County, AL"	"01129"	"2015"	"2015"	"All Other Causes"	"O"	229	16804	1362.8	1186.3	1539.3	1120.4	971.3	1269.6	0.0%
	"Wilcox County, AL"	"01131"	"2015"	"2015"	"All Other Causes"	"O"	144	11059	1302.1	1089.4	1514.8	1024.1	850.2	1197.9	0.0%
	"Winston County, AL"	"01133"	"2015"	"2015"	"All Other Causes"	"O"	302	23877	1264.8	1122.2	1407.5	890.9	787.9	994.0	0.0%
	"Aleutians West Census Area, AK"	"02016"	"2015"	"2015"	"All Other Causes"	"O"	17	5702	Unreliable	173.7	477.4	Unreliable	249.0	1136.3	0.0%
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Drug-Induced Causes"	"D"	61	298695	20.4	15.6	26.2	19.1	14.5	24.6	0.0%
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	74	298695	24.8	19.5	31.1	24.6	19.2	31.0	0.0%
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	"All Other Causes"	"O"	1523	298695	509.9	484.3	535.5	672.6	636.7	708.4	0.1%
	"Bethel Census Area, AK"	"02050"	"2015"	"2015"	"All Other Causes"	"O"	106	17946	590.7	478.2	703.1	1048.2	814.5	1281.8	0.0%
	"Dillingham Census Area, AK"	"02070"	"2015"	"2015"	"All Other Causes"	"O"	40	4997	800.5	571.9	1090.0	1104.8	765.1	1543.9	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	"Drug-Induced Causes"	"D"	11	99631	Unreliable	5.5	19.8	Unreliable	5.3	21.8	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	12	99631	Unreliable	6.2	21.0	Unreliable	6.3	22.7	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	"All Other Causes"	"O"	449	99631	450.7	409.0	492.3	688.9	619.2	758.6	0.0%
	"Haines Borough, AK"	"02100"	"2015"	"2015"	"All Other Causes"	"O"	12	2534	Unreliable	244.7	827.2	Unreliable	228.0	817.2	0.0%
	"Hoonah-Angoon Census Area, AK"	"02105"	"2015"	"2015"	"All Other Causes"	"O"	13	2133	Unreliable	324.5	1042.2	Unreliable	248.7	891.5	0.0%
	"Juneau Borough, AK"	"02110"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	32756	Unreliable	16.8	60.1	Unreliable	13.1	50.1	0.0%
	"Juneau Borough, AK"	"02110"	"2015"	"2015"	"All Other Causes"	"O"	184	32756	561.7	480.6	642.9	678.8	574.6	783.0	0.0%
	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	"Drug-Induced Causes"	"D"	16	58059	Unreliable	15.8	44.8	Unreliable	15.1	44.4	0.0%
	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	"All Other Causes"	"O"	421	58059	725.1	655.9	794.4	726.5	652.8	800.3	0.0%
	"Ketchikan Gateway Borough, AK"	"02130"	"2015"	"2015"	"All Other Causes"	"O"	78	13709	569.0	449.7	710.1	637.6	498.9	803.0	0.0%
	"Kodiak Island Borough, AK"	"02150"	"2015"	"2015"	"All Other Causes"	"O"	55	13889	396.0	298.3	515.4	487.5	352.8	656.7	0.0%
	"Lake and Peninsula Borough, AK"	"02164"	"2015"	"2015"	"All Other Causes"	"O"	14	1563	Unreliable	489.7	1502.9	Unreliable	621.8	2101.9	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	"Drug-Induced Causes"	"D"	14	101095	Unreliable	7.6	23.2	Unreliable	7.7	23.7	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	101095	Unreliable	5.4	19.5	Unreliable	5.1	19.5	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	"All Other Causes"	"O"	556	101095	550.0	504.3	595.7	729.1	662.7	795.6	0.0%
	"Nome Census Area, AK"	"02180"	"2015"	"2015"	"All Other Causes"	"O"	51	9846	518.0	385.7	681.0	835.9	602.5	1130.0	0.0%
	"North Slope Borough, AK"	"02185"	"2015"	"2015"	"All Other Causes"	"O"	63	9687	650.4	499.8	832.1	1221.0	876.2	1656.4	0.0%
	"Northwest Arctic Borough, AK"	"02188"	"2015"	"2015"	"All Other Causes"	"O"	45	7752	580.5	423.4	776.7	789.3	563.8	1074.7	0.0%
	"Petersburg Borough/Census Area, AK"	"02195"	"2015"	"2015"	"All Other Causes"	"O"	27	3177	849.9	560.1	1236.5	897.6	575.1	1335.5	0.0%
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2015"	"2015"	"All Other Causes"	"O"	39	6341	615.0	437.4	840.8	854.1	557.9	1251.4	0.0%
	"Sitka Borough, AK"	"02220"	"2015"	"2015"	"All Other Causes"	"O"	64	8863	722.1	556.1	922.1	651.8	499.7	835.6	0.0%
	"Southeast Fairbanks Census Area, AK"	"02240"	"2015"	"2015"	"All Other Causes"	"O"	43	6839	628.7	455.0	846.9	796.3	560.7	1097.6	0.0%
	"Valdez-Cordova Census Area, AK"	"02261"	"2015"	"2015"	"All Other Causes"	"O"	61	9362	651.6	498.4	837.0	864.5	639.6	1143.0	0.0%
	"Wade Hampton Census Area, AK"	"02270"	"2015"	"2015"	"All Other Causes"	"O"	58	8119	714.4	542.5	923.5	1200.6	868.8	1617.1	0.0%
	"Wrangell City and Borough, AK"	"02275"	"2015"	"2015"	"All Other Causes"	"O"	23	2382	965.6	612.1	1448.8	810.4	501.7	1238.8	0.0%
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2015"	"2015"	"All Other Causes"	"O"	53	5533	957.9	717.5	1252.9	918.7	679.7	1214.6	0.0%
	"Apache County, AZ"	"04001"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	54	71474	75.6	56.8	98.6	83.9	62.5	110.4	0.0%
	"Apache County, AZ"	"04001"	"2015"	"2015"	"All Other Causes"	"O"	636	71474	889.8	820.7	959.0	891.2	820.5	961.9	0.0%
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"Drug-Induced Causes"	"D"	34	126427	26.9	18.6	37.6	30.9	21.1	43.6	0.0%
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	24	126427	19.0	12.2	28.2	18.0	11.1	27.5	0.0%
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"All Other Causes"	"O"	1249	126427	987.9	933.1	1042.7	693.3	653.8	732.8	0.0%
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"Drug-Induced Causes"	"D"	26	139097	18.7	12.2	27.4	21.1	13.5	31.4	0.0%
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	42	139097	30.2	21.8	40.8	31.4	22.3	42.9	0.0%
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"All Other Causes"	"O"	741	139097	532.7	494.4	571.1	611.8	566.2	657.3	0.0%
	"Gila County, AZ"	"04007"	"2015"	"2015"	"Drug-Induced Causes"	"D"	20	53159	37.6	23.0	58.1	34.5	19.3	56.9	0.0%
	"Gila County, AZ"	"04007"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	28	53159	52.7	35.0	76.1	45.7	28.3	69.8	0.0%
	"Gila County, AZ"	"04007"	"2015"	"2015"	"All Other Causes"	"O"	764	53159	1437.2	1335.3	1539.1	882.7	813.4	952.1	0.0%
	"Graham County, AZ"	"04009"	"2015"	"2015"	"All Other Causes"	"O"	237	37666	629.2	549.1	709.3	648.5	565.2	731.7	0.0%
	"Greenlee County, AZ"	"04011"	"2015"	"2015"	"All Other Causes"	"O"	60	9529	629.7	480.5	810.5	671.2	511.0	865.8	0.0%
	"La Paz County, AZ"	"04012"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	20152	Unreliable	27.2	97.7	Unreliable	18.5	84.6	0.0%
	"La Paz County, AZ"	"04012"	"2015"	"2015"	"All Other Causes"	"O"	241	20152	1195.9	1044.9	1346.9	612.7	519.4	705.9	0.0%
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Drug-Induced Causes"	"D"	764	4167947	18.3	17.0	19.6	18.4	17.1	19.7	0.0%
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	659	4167947	15.8	14.6	17.0	14.8	13.7	16.0	0.0%
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"All Other Causes"	"O"	27774	4167947	666.4	658.5	674.2	614.9	607.6	622.2	1.0%
	"Mohave County, AZ"	"04015"	"2015"	"2015"	"Drug-Induced Causes"	"D"	62	204737	30.3	23.2	38.8	32.2	24.0	42.2	0.0%
	"Mohave County, AZ"	"04015"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	70	204737	34.2	26.7	43.2	26.1	19.5	34.1	0.0%
	"Mohave County, AZ"	"04015"	"2015"	"2015"	"All Other Causes"	"O"	2958	204737	1444.8	1392.7	1496.8	831.7	799.2	864.3	0.1%
	"Navajo County, AZ"	"04017"	"2015"	"2015"	"Drug-Induced Causes"	"D"	15	108277	Unreliable	7.8	22.8	Unreliable	8.5	25.1	0.0%
	"Navajo County, AZ"	"04017"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	66	108277	61.0	47.1	77.5	68.1	52.1	87.5	0.0%
	"Navajo County, AZ"	"04017"	"2015"	"2015"	"All Other Causes"	"O"	841	108277	776.7	724.2	829.2	705.7	656.7	754.6	0.0%
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Drug-Induced Causes"	"D"	245	1010025	24.3	21.2	27.3	25.8	22.5	29.1	0.0%
	"Pima County, AZ"	"04019"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	175	1010025	17.3	14.8	19.9	16.0	13.5	18.5	0.0%
	"Pima County, AZ"	"04019"	"2015"	"2015"	"All Other Causes"	"O"	8828	1010025	874.0	855.8	892.3	651.2	637.3	665.2	0.3%
	"Pinal County, AZ"	"04021"	"2015"	"2015"	"Drug-Induced Causes"	"D"	62	406584	15.2	11.7	19.5	16.1	12.3	20.7	0.0%
	"Pinal County, AZ"	"04021"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	55	406584	13.5	10.2	17.6	13.9	10.4	18.3	0.0%
	"Pinal County, AZ"	"04021"	"2015"	"2015"	"All Other Causes"	"O"	2868	406584	705.4	679.6	731.2	591.1	568.7	613.4	0.1%
	"Santa Cruz County, AZ"	"04023"	"2015"	"2015"	"All Other Causes"	"O"	284	46461	611.3	540.2	682.4	515.0	454.2	575.8	0.0%
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	"Drug-Induced Causes"	"D"	58	222255	26.1	19.8	33.7	27.9	20.5	37.0	0.0%
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	62	222255	27.9	21.4	35.8	19.1	14.0	25.4	0.0%
	"Yavapai County, AZ"	"04025"	"2015"	"2015"	"All Other Causes"	"O"	2806	222255	1262.5	1215.8	1309.2	686.1	658.2	714.1	0.1%
	"Yuma County, AZ"	"04027"	"2015"	"2015"	"Drug-Induced Causes"	"D"	32	204275	15.7	10.7	22.1	16.2	10.9	23.1	0.0%
	"Yuma County, AZ"	"04027"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	15	204275	Unreliable	4.1	12.1	Unreliable	4.5	13.9	0.0%
	"Yuma County, AZ"	"04027"	"2015"	"2015"	"All Other Causes"	"O"	1384	204275	677.5	641.8	713.2	532.1	503.5	560.7	0.1%
	"Arkansas County, AR"	"05001"	"2015"	"2015"	"All Other Causes"	"O"	231	18433	1253.2	1091.6	1414.8	928.4	805.5	1051.3	0.0%
	"Ashley County, AR"	"05003"	"2015"	"2015"	"All Other Causes"	"O"	272	20838	1305.3	1150.2	1460.4	998.1	877.1	1119.1	0.0%
	"Baxter County, AR"	"05005"	"2015"	"2015"	"Drug-Induced Causes"	"D"	10	41053	Unreliable	11.7	44.8	Unreliable	10.8	49.3	0.0%
	"Baxter County, AR"	"05005"	"2015"	"2015"	"All Other Causes"	"O"	679	41053	1654.0	1529.6	1778.4	853.7	781.7	925.7	0.0%
	"Benton County, AR"	"05007"	"2015"	"2015"	"Drug-Induced Causes"	"D"	42	249672	16.8	12.1	22.7	17.1	12.3	23.1	0.0%
