"Notes"	"Year"	"Year Code"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Hawaii"	"15"	"Medium Metro"	"3"	51	878906	5.8	5.8
	"1999"	"1999"	"Hawaii"	"15"	"Small Metro"	"4"	10	126160	7.9 (Unreliable)	7.5 (Unreliable)
	"1999"	"1999"	"Hawaii"	"15"	"Micropolitan (non-metro)"	"5"	19	205234	9.3 (Unreliable)	8.9 (Unreliable)
	"1999"	"1999"	"Idaho"	"16"	"Medium Metro"	"3"	29	452837	6.4	6.8
	"1999"	"1999"	"Idaho"	"16"	"Small Metro"	"4"	17	334038	5.1 (Unreliable)	5.5 (Unreliable)
	"1999"	"1999"	"Idaho"	"16"	"Micropolitan (non-metro)"	"5"	13	354039	3.7 (Unreliable)	3.9 (Unreliable)
	"1999"	"1999"	"Illinois"	"17"	"Large Central Metro"	"1"	553	5365344	10.3	10.4
	"1999"	"1999"	"Illinois"	"17"	"Large Fringe Metro"	"2"	153	3518188	4.3	4.3
	"1999"	"1999"	"Illinois"	"17"	"Medium Metro"	"3"	40	903090	4.4	4.6
	"1999"	"1999"	"Illinois"	"17"	"Small Metro"	"4"	42	1010762	4.2	4.4
	"1999"	"1999"	"Illinois"	"17"	"Micropolitan (non-metro)"	"5"	24	918584	2.6	2.7
	"1999"	"1999"	"Illinois"	"17"	"NonCore (non-metro)"	"6"	13	643052	2.0 (Unreliable)	2.0 (Unreliable)
	"1999"	"1999"	"Indiana"	"18"	"Large Central Metro"	"1"	34	857461	4.0	3.9
	"1999"	"1999"	"Indiana"	"18"	"Large Fringe Metro"	"2"	48	1765735	2.7	2.8
	"1999"	"1999"	"Indiana"	"18"	"Medium Metro"	"3"	37	902588	4.1	4.2
	"1999"	"1999"	"Indiana"	"18"	"Small Metro"	"4"	36	1055207	3.4	3.5
	"1999"	"1999"	"Indiana"	"18"	"Micropolitan (non-metro)"	"5"	27	1002123	2.7	2.7
	"1999"	"1999"	"Iowa"	"19"	"Medium Metro"	"3"	22	987195	2.2	2.2
	"1999"	"1999"	"Iowa"	"19"	"Micropolitan (non-metro)"	"5"	11	507506	2.2 (Unreliable)	2.1 (Unreliable)
	"1999"	"1999"	"Iowa"	"19"	"NonCore (non-metro)"	"6"	13	832144	1.6 (Unreliable)	1.6 (Unreliable)
	"1999"	"1999"	"Kansas"	"20"	"Large Fringe Metro"	"2"	31	707099	4.4	4.2
	"1999"	"1999"	"Kansas"	"20"	"Medium Metro"	"3"	21	578580	3.6	3.8
	"1999"	"1999"	"Kansas"	"20"	"Small Metro"	"4"	14	412424	3.4 (Unreliable)	3.7 (Unreliable)
	"1999"	"1999"	"Kansas"	"20"	"Micropolitan (non-metro)"	"5"	17	548239	3.1 (Unreliable)	3.2 (Unreliable)
	"1999"	"1999"	"Kentucky"	"21"	"Large Central Metro"	"1"	38	691879	5.5	5.4
	"1999"	"1999"	"Kentucky"	"21"	"Large Fringe Metro"	"2"	29	546501	5.3	5.2
	"1999"	"1999"	"Kentucky"	"21"	"Medium Metro"	"3"	33	620717	5.3	5.2
	"1999"	"1999"	"Kentucky"	"21"	"Micropolitan (non-metro)"	"5"	31	780747	4.0	4.0
	"1999"	"1999"	"Kentucky"	"21"	"NonCore (non-metro)"	"6"	59	1002371	5.9	5.9
	"1999"	"1999"	"Louisiana"	"22"	"Large Central Metro"	"1"	16	485511	3.3 (Unreliable)	3.4 (Unreliable)
	"1999"	"1999"	"Louisiana"	"22"	"Large Fringe Metro"	"2"	67	852859	7.9	7.8
	"1999"	"1999"	"Louisiana"	"22"	"Medium Metro"	"3"	39	1541580	2.5	2.6
	"1999"	"1999"	"Louisiana"	"22"	"Small Metro"	"4"	29	802350	3.6	3.8
	"1999"	"1999"	"Louisiana"	"22"	"Micropolitan (non-metro)"	"5"	20	402921	5.0	5.4
	"1999"	"1999"	"Louisiana"	"22"	"NonCore (non-metro)"	"6"	17	375590	4.5 (Unreliable)	4.8 (Unreliable)
	"1999"	"1999"	"Maine"	"23"	"Medium Metro"	"3"	28	481966	5.8	5.6
	"1999"	"1999"	"Maine"	"23"	"Small Metro"	"4"	16	248305	6.4 (Unreliable)	6.4 (Unreliable)
	"1999"	"1999"	"Maine"	"23"	"NonCore (non-metro)"	"6"	16	419858	3.8 (Unreliable)	3.9 (Unreliable)
	"1999"	"1999"	"Maryland"	"24"	"Large Central Metro"	"1"	314	657441	47.8	48.3
	"1999"	"1999"	"Maryland"	"24"	"Large Fringe Metro"	"2"	295	4007890	7.4	7.0
	"1999"	"1999"	"Maryland"	"24"	"Medium Metro"	"3"	10	285365	3.5 (Unreliable)	3.4 (Unreliable)
	"1999"	"1999"	"Massachusetts"	"25"	"Large Central Metro"	"1"	76	689109	11.0	10.8
	"1999"	"1999"	"Massachusetts"	"25"	"Large Fringe Metro"	"2"	278	3826961	7.3	6.9
	"1999"	"1999"	"Massachusetts"	"25"	"Medium Metro"	"3"	105	1351718	7.8	7.7
	"1999"	"1999"	"Massachusetts"	"25"	"Small Metro"	"4"	23	354187	6.5	6.9
	"1999"	"1999"	"Michigan"	"26"	"Large Central Metro"	"1"	177	2640845	6.7	6.9
	"1999"	"1999"	"Michigan"	"26"	"Large Fringe Metro"	"2"	100	2727452	3.7	3.5
	"1999"	"1999"	"Michigan"	"26"	"Medium Metro"	"3"	66	1564253	4.2	4.3
	"1999"	"1999"	"Michigan"	"26"	"Small Metro"	"4"	55	1174284	4.7	4.7
	"1999"	"1999"	"Michigan"	"26"	"Micropolitan (non-metro)"	"5"	34	1099347	3.1	3.2
	"1999"	"1999"	"Michigan"	"26"	"NonCore (non-metro)"	"6"	28	690935	4.1	4.3
	"1999"	"1999"	"Minnesota"	"27"	"Large Central Metro"	"1"	65	1618809	4.0	4.0
	"1999"	"1999"	"Minnesota"	"27"	"Large Fringe Metro"	"2"	22	1277791	1.7	1.6
	"1999"	"1999"	"Minnesota"	"27"	"Medium Metro"	"3"	13	231722	5.6 (Unreliable)	5.7 (Unreliable)
	"1999"	"1999"	"Minnesota"	"27"	"Micropolitan (non-metro)"	"5"	18	619760	2.9 (Unreliable)	2.8 (Unreliable)
	"1999"	"1999"	"Minnesota"	"27"	"NonCore (non-metro)"	"6"	11	590437	1.9 (Unreliable)	1.8 (Unreliable)
	"1999"	"1999"	"Mississippi"	"28"	"Medium Metro"	"3"	32	882535	3.6	3.7
	"1999"	"1999"	"Mississippi"	"28"	"Micropolitan (non-metro)"	"5"	28	962167	2.9	3.0
	"1999"	"1999"	"Mississippi"	"28"	"NonCore (non-metro)"	"6"	18	680842	2.6 (Unreliable)	2.9 (Unreliable)
	"1999"	"1999"	"Missouri"	"29"	"Large Central Metro"	"1"	85	1004229	8.5	8.6
	"1999"	"1999"	"Missouri"	"29"	"Large Fringe Metro"	"2"	89	2080787	4.3	4.2
	"1999"	"1999"	"Missouri"	"29"	"Medium Metro"	"3"	21	385443	5.4	5.5
	"1999"	"1999"	"Missouri"	"29"	"Small Metro"	"4"	27	622444	4.3	4.4
	"1999"	"1999"	"Missouri"	"29"	"Micropolitan (non-metro)"	"5"	25	652599	3.8	4.0
	"1999"	"1999"	"Missouri"	"29"	"NonCore (non-metro)"	"6"	29	816446	3.6	3.7
	"1999"	"1999"	"Montana"	"30"	"Small Metro"	"4"	14	314706	4.4 (Unreliable)	4.5 (Unreliable)
	"1999"	"1999"	"Montana"	"30"	"Micropolitan (non-metro)"	"5"	14	240007	5.8 (Unreliable)	5.8 (Unreliable)
	"1999"	"1999"	"Montana"	"30"	"NonCore (non-metro)"	"6"	13	342794	3.8 (Unreliable)	3.8 (Unreliable)
	"1999"	"1999"	"Nebraska"	"31"	"Medium Metro"	"3"	26	908342	2.9	3.0
	"1999"	"1999"	"Nevada"	"32"	"Large Central Metro"	"1"	182	1321254	13.8	13.7
	"1999"	"1999"	"Nevada"	"32"	"Medium Metro"	"3"	34	336225	10.1	9.5
	"1999"	"1999"	"New Hampshire"	"33"	"Large Fringe Metro"	"2"	11	384881	2.9 (Unreliable)	2.7 (Unreliable)
	"1999"	"1999"	"New Hampshire"	"33"	"Medium Metro"	"3"	21	376407	5.6	5.2
	"1999"	"1999"	"New Hampshire"	"33"	"Micropolitan (non-metro)"	"5"	18	417911	4.3 (Unreliable)	4.2 (Unreliable)
	"1999"	"1999"	"New Jersey"	"34"	"Large Central Metro"	"1"	144	1914012	7.5	7.4
	"1999"	"1999"	"New Jersey"	"34"	"Large Fringe Metro"	"2"	342	5497245	6.2	6.1
	"1999"	"1999"	"New Jersey"	"34"	"Medium Metro"	"3"	53	699907	7.6	7.4
	"1999"	"1999"	"New Jersey"	"34"	"Small Metro"	"4"	18	248428	7.2 (Unreliable)	7.3 (Unreliable)
	"1999"	"1999"	"New Mexico"	"35"	"Medium Metro"	"3"	140	722692	19.4	19.0
	"1999"	"1999"	"New Mexico"	"35"	"Small Metro"	"4"	53	414429	12.8	13.0
	"1999"	"1999"	"New Mexico"	"35"	"Micropolitan (non-metro)"	"5"	65	570091	11.4	12.3
	"1999"	"1999"	"New York"	"36"	"Large Central Metro"	"1"	766	9633885	8.0	7.9
	"1999"	"1999"	"New York"	"36"	"Large Fringe Metro"	"2"	122	5196823	2.3	2.3
	"1999"	"1999"	"New York"	"36"	"Medium Metro"	"3"	39	1774290	2.2	2.2
	"1999"	"1999"	"New York"	"36"	"Small Metro"	"4"	11	853394	1.3 (Unreliable)	1.3 (Unreliable)
	"1999"	"1999"	"New York"	"36"	"Micropolitan (non-metro)"	"5"	12	1020061	1.2 (Unreliable)	1.2 (Unreliable)
	"1999"	"1999"	"North Carolina"	"37"	"Large Central Metro"	"1"	56	1294799	4.3	4.2
	"1999"	"1999"	"North Carolina"	"37"	"Large Fringe Metro"	"2"	57	940389	6.1	5.9
	"1999"	"1999"	"North Carolina"	"37"	"Medium Metro"	"3"	143	2929414	4.9	4.8
	"1999"	"1999"	"North Carolina"	"37"	"Small Metro"	"4"	30	781525	3.8	4.2
	"1999"	"1999"	"North Carolina"	"37"	"Micropolitan (non-metro)"	"5"	53	1407360	3.8	3.8
	"1999"	"1999"	"North Carolina"	"37"	"NonCore (non-metro)"	"6"	27	595874	4.5	4.7
	"1999"	"1999"	"Ohio"	"39"	"Large Central Metro"	"1"	167	3310892	5.0	5.1
	"1999"	"1999"	"Ohio"	"39"	"Large Fringe Metro"	"2"	52	2048294	2.5	2.5
	"1999"	"1999"	"Ohio"	"39"	"Medium Metro"	"3"	162	3074241	5.3	5.3
	"1999"	"1999"	"Ohio"	"39"	"Small Metro"	"4"	17	527717	3.2 (Unreliable)	3.3 (Unreliable)
	"1999"	"1999"	"Ohio"	"39"	"Micropolitan (non-metro)"	"5"	60	1923632	3.1	3.2
	"1999"	"1999"	"Oklahoma"	"40"	"Large Central Metro"	"1"	35	657182	5.3	5.5
	"1999"	"1999"	"Oklahoma"	"40"	"Large Fringe Metro"	"2"	27	431165	6.3	6.3
	"1999"	"1999"	"Oklahoma"	"40"	"Medium Metro"	"3"	50	941150	5.3	5.4
	"1999"	"1999"	"Oklahoma"	"40"	"Micropolitan (non-metro)"	"5"	36	750164	4.8	5.1
	"1999"	"1999"	"Oklahoma"	"40"	"NonCore (non-metro)"	"6"	27	534944	5.0	5.2
	"1999"	"1999"	"Oregon"	"41"	"Large Central Metro"	"1"	75	657740	11.4	10.7
	"1999"	"1999"	"Oregon"	"41"	"Large Fringe Metro"	"2"	37	899207	4.1	4.0
	"1999"	"1999"	"Oregon"	"41"	"Medium Metro"	"3"	47	665763	7.1	7.3
	"1999"	"1999"	"Oregon"	"41"	"Small Metro"	"4"	24	548122	4.4	4.4
	"1999"	"1999"	"Oregon"	"41"	"Micropolitan (non-metro)"	"5"	25	527771	4.7	5.1
	"1999"	"1999"	"Pennsylvania"	"42"	"Large Central Metro"	"1"	428	2807311	15.2	15.5
	"1999"	"1999"	"Pennsylvania"	"42"	"Large Fringe Metro"	"2"	259	3513839	7.4	7.4
	"1999"	"1999"	"Pennsylvania"	"42"	"Medium Metro"	"3"	194	3326389	5.8	5.9
	"1999"	"1999"	"Pennsylvania"	"42"	"Small Metro"	"4"	55	1095732	5.0	5.1
	"1999"	"1999"	"Pennsylvania"	"42"	"Micropolitan (non-metro)"	"5"	40	1103869	3.6	3.7
	"1999"	"1999"	"Pennsylvania"	"42"	"NonCore (non-metro)"	"6"	14	416665	3.4 (Unreliable)	3.4 (Unreliable)
	"1999"	"1999"	"Rhode Island"	"44"	"Large Central Metro"	"1"	40	616607	6.5	6.5
	"1999"	"1999"	"Rhode Island"	"44"	"Large Fringe Metro"	"2"	18	423795	4.2 (Unreliable)	4.2 (Unreliable)
	"1999"	"1999"	"South Carolina"	"45"	"Large Fringe Metro"	"2"	13	256550	5.1 (Unreliable)	5.1 (Unreliable)
	"1999"	"1999"	"South Carolina"	"45"	"Medium Metro"	"3"	100	2543031	3.9	3.9
	"1999"	"1999"	"South Carolina"	"45"	"Small Metro"	"4"	11	435890	2.5 (Unreliable)	2.6 (Unreliable)
	"1999"	"1999"	"South Carolina"	"45"	"Micropolitan (non-metro)"	"5"	15	420711	3.6 (Unreliable)	3.6 (Unreliable)
	"1999"	"1999"	"South Dakota"	"46"	"Small Metro"	"4"	10	314906	3.2 (Unreliable)	3.2 (Unreliable)
	"1999"	"1999"	"Tennessee"	"47"	"Large Central Metro"	"1"	110	1461077	7.5	7.5
	"1999"	"1999"	"Tennessee"	"47"	"Large Fringe Metro"	"2"	36	873494	4.1	4.1
	"1999"	"1999"	"Tennessee"	"47"	"Medium Metro"	"3"	92	1427799	6.4	6.3
	"1999"	"1999"	"Tennessee"	"47"	"Small Metro"	"4"	29	505364	5.7	5.7
	"1999"	"1999"	"Tennessee"	"47"	"Micropolitan (non-metro)"	"5"	41	748183	5.5	5.6
	"1999"	"1999"	"Tennessee"	"47"	"NonCore (non-metro)"	"6"	36	622789	5.8	5.9
	"1999"	"1999"	"Texas"	"48"	"Large Central Metro"	"1"	604	9615509	6.3	6.3
	"1999"	"1999"	"Texas"	"48"	"Large Fringe Metro"	"2"	157	3003660	5.2	5.2
	"1999"	"1999"	"Texas"	"48"	"Medium Metro"	"3"	159	3594837	4.4	4.7
	"1999"	"1999"	"Texas"	"48"	"Small Metro"	"4"	62	1499988	4.1	4.3
	"1999"	"1999"	"Texas"	"48"	"Micropolitan (non-metro)"	"5"	51	1502850	3.4	3.6
	"1999"	"1999"	"Texas"	"48"	"NonCore (non-metro)"	"6"	54	1341376	4.0	4.0
	"1999"	"1999"	"Utah"	"49"	"Large Central Metro"	"1"	135	891116	15.1	16.3
	"1999"	"1999"	"Utah"	"49"	"Medium Metro"	"3"	50	848685	5.9	6.8
	"1999"	"1999"	"Vermont"	"50"	"Small Metro"	"4"	12	197026	6.1 (Unreliable)	5.9 (Unreliable)
	"1999"	"1999"	"Vermont"	"50"	"Micropolitan (non-metro)"	"5"	13	249401	5.2 (Unreliable)	5.2 (Unreliable)
	"1999"	"1999"	"Virginia"	"51"	"Large Central Metro"	"1"	95	1169395	8.1	7.7
	"1999"	"1999"	"Virginia"	"51"	"Large Fringe Metro"	"2"	164	3527821	4.6	4.4
	"1999"	"1999"	"Virginia"	"51"	"Medium Metro"	"3"	22	606295	3.6	3.5
	"1999"	"1999"	"Virginia"	"51"	"Small Metro"	"4"	29	648514	4.5	4.6
	"1999"	"1999"	"Virginia"	"51"	"Micropolitan (non-metro)"	"5"	17	289394	5.9 (Unreliable)	5.8 (Unreliable)
	"1999"	"1999"	"Virginia"	"51"	"NonCore (non-metro)"	"6"	39	758755	5.1	5.2
	"1999"	"1999"	"Washington"	"53"	"Large Central Metro"	"1"	197	1729058	11.4	10.6
	"1999"	"1999"	"Washington"	"53"	"Large Fringe Metro"	"2"	161	1639908	9.8	9.7
	"1999"	"1999"	"Washington"	"53"	"Medium Metro"	"3"	96	1089899	8.8	8.8
	"1999"	"1999"	"Washington"	"53"	"Small Metro"	"4"	58	758423	7.6	8.0
	"1999"	"1999"	"Washington"	"53"	"Micropolitan (non-metro)"	"5"	35	483022	7.2	7.8
	"1999"	"1999"	"West Virginia"	"54"	"Medium Metro"	"3"	15	287412	5.2 (Unreliable)	5.2 (Unreliable)
	"1999"	"1999"	"West Virginia"	"54"	"Small Metro"	"4"	26	759028	3.4	3.4
	"1999"	"1999"	"West Virginia"	"54"	"Micropolitan (non-metro)"	"5"	11	305005	3.6 (Unreliable)	3.6 (Unreliable)
	"1999"	"1999"	"West Virginia"	"54"	"NonCore (non-metro)"	"6"	21	418801	5.0	5.1
	"1999"	"1999"	"Wisconsin"	"55"	"Large Central Metro"	"1"	74	940529	7.9	8.0
	"1999"	"1999"	"Wisconsin"	"55"	"Large Fringe Metro"	"2"	23	802182	2.9	2.8
	"1999"	"1999"	"Wisconsin"	"55"	"Medium Metro"	"3"	36	854440	4.2	4.1
	"1999"	"1999"	"Wisconsin"	"55"	"Small Metro"	"4"	44	1283463	3.4	3.4
	"1999"	"1999"	"Wisconsin"	"55"	"Micropolitan (non-metro)"	"5"	12	743079	1.6 (Unreliable)	1.6 (Unreliable)
	"1999"	"1999"	"Wisconsin"	"55"	"NonCore (non-metro)"	"6"	23	708973	3.2	3.3
	"1999"	"1999"	"Wyoming"	"56"	"Micropolitan (non-metro)"	"5"	12	202808	5.9 (Unreliable)	6.0 (Unreliable)
	"2000"	"2000"	"Alabama"	"01"	"Large Central Metro"	"1"	47	662047	7.1	7.1
	"2000"	"2000"	"Alabama"	"01"	"Large Fringe Metro"	"2"	15	390191	3.8 (Unreliable)	3.7 (Unreliable)
	"2000"	"2000"	"Alabama"	"01"	"Medium Metro"	"3"	48	1138503	4.2	4.2
	"2000"	"2000"	"Alabama"	"01"	"Small Metro"	"4"	55	1093902	5.0	5.2
	"2000"	"2000"	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	16	511460	3.1 (Unreliable)	3.2 (Unreliable)
	"2000"	"2000"	"Alabama"	"01"	"NonCore (non-metro)"	"6"	16	650997	2.5 (Unreliable)	2.5 (Unreliable)
	"2000"	"2000"	"Alaska"	"02"	"Medium Metro"	"3"	28	319605	8.8	8.0
	"2000"	"2000"	"Alaska"	"02"	"NonCore (non-metro)"	"6"	13	179706	7.2 (Unreliable)	7.1 (Unreliable)
	"2000"	"2000"	"Arizona"	"04"	"Large Central Metro"	"1"	274	3072149	8.9	9.1
	"2000"	"2000"	"Arizona"	"04"	"Large Fringe Metro"	"2"	14	179727	7.8 (Unreliable)	8.5 (Unreliable)
	"2000"	"2000"	"Arizona"	"04"	"Medium Metro"	"3"	163	843746	19.3	19.9
	"2000"	"2000"	"Arizona"	"04"	"Small Metro"	"4"	51	716650	7.1	7.5
	"2000"	"2000"	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	11	220675	5.0 (Unreliable)	5.7 (Unreliable)
	"2000"	"2000"	"Arkansas"	"05"	"Medium Metro"	"3"	53	1104200	4.8	4.9
	"2000"	"2000"	"Arkansas"	"05"	"Small Metro"	"4"	22	357242	6.2	6.4
	"2000"	"2000"	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"	29	562697	5.2	5.4
	"2000"	"2000"	"Arkansas"	"05"	"NonCore (non-metro)"	"6"	35	598395	5.8	5.9
	"2000"	"2000"	"California"	"06"	"Large Central Metro"	"1"	1251	21851405	5.7	5.8
	"2000"	"2000"	"California"	"06"	"Large Fringe Metro"	"2"	171	4239292	4.0	4.0
	"2000"	"2000"	"California"	"06"	"Medium Metro"	"3"	409	5959967	6.9	7.2
	"2000"	"2000"	"California"	"06"	"Small Metro"	"4"	50	1024786	4.9	5.1
	"2000"	"2000"	"California"	"06"	"Micropolitan (non-metro)"	"5"	47	535000	8.8	8.4
	"2000"	"2000"	"California"	"06"	"NonCore (non-metro)"	"6"	13	261198	5.0 (Unreliable)	4.8 (Unreliable)
	"2000"	"2000"	"Colorado"	"08"	"Large Central Metro"	"1"	84	554636	15.1	15.0
	"2000"	"2000"	"Colorado"	"08"	"Large Fringe Metro"	"2"	133	1603120	8.3	8.0
	"2000"	"2000"	"Colorado"	"08"	"Medium Metro"	"3"	74	1261202	5.9	5.8
	"2000"	"2000"	"Colorado"	"08"	"Small Metro"	"4"	33	257727	12.8	13.4
	"2000"	"2000"	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"	13	327937	4.0 (Unreliable)	3.6 (Unreliable)
	"2000"	"2000"	"Colorado"	"08"	"NonCore (non-metro)"	"6"	15	296639	5.1 (Unreliable)	5.2 (Unreliable)
	"2000"	"2000"	"Connecticut"	"09"	"Large Central Metro"	"1"	101	857183	11.8	11.6
	"2000"	"2000"	"Connecticut"	"09"	"Large Fringe Metro"	"2"	20	291435	6.9	6.6
	"2000"	"2000"	"Connecticut"	"09"	"Medium Metro"	"3"	184	2074754	8.9	8.7
	"2000"	"2000"	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"	15	182193	8.2 (Unreliable)	8.4 (Unreliable)
	"2000"	"2000"	"Delaware"	"10"	"Large Fringe Metro"	"2"	38	500265	7.6	7.4
	"2000"	"2000"	"Delaware"	"10"	"Small Metro"	"4"	11	126697	8.7 (Unreliable)	8.8 (Unreliable)
	"2000"	"2000"	"District of Columbia"	"11"	"Large Central Metro"	"1"	76	572059	13.3	13.4
	"2000"	"2000"	"Florida"	"12"	"Large Central Metro"	"1"	405	5849015	6.9	6.9
	"2000"	"2000"	"Florida"	"12"	"Large Fringe Metro"	"2"	333	4321857	7.7	7.9
	"2000"	"2000"	"Florida"	"12"	"Medium Metro"	"3"	315	4278744	7.4	7.8
	"2000"	"2000"	"Florida"	"12"	"Small Metro"	"4"	63	886018	7.1	7.9
	"2000"	"2000"	"Florida"	"12"	"Micropolitan (non-metro)"	"5"	22	337792	6.5	6.8
	"2000"	"2000"	"Florida"	"12"	"NonCore (non-metro)"	"6"	21	308952	6.8	6.7
	"2000"	"2000"	"Georgia"	"13"	"Large Central Metro"	"1"	54	816006	6.6	6.4
	"2000"	"2000"	"Georgia"	"13"	"Large Fringe Metro"	"2"	154	3447432	4.5	4.3
	"2000"	"2000"	"Georgia"	"13"	"Medium Metro"	"3"	31	995386	3.1	3.2
	"2000"	"2000"	"Georgia"	"13"	"Small Metro"	"4"	53	1324692	4.0	4.1
	"2000"	"2000"	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"	36	882177	4.1	4.1
	"2000"	"2000"	"Georgia"	"13"	"NonCore (non-metro)"	"6"	36	720760	5.0	5.1
	"2000"	"2000"	"Hawaii"	"15"	"Medium Metro"	"3"	42	876156	4.8	4.9
