"Notes"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Overexertion"	"GRINJ-014"	"2009"	"2009"	10	306771529	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2010"	"2010"	10	308745538	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2011"	"2011"	16	311591917	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2012"	"2012"	10	313914040	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2013"	"2013"	13	316128839	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2014"	"2014"	9	318857056	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2015"	"2015"	9	321418820	0.0 (Unreliable)	0.0 (Unreliable)
	"Poisoning"	"GRINJ-015"	"1999"	"1999"	19741	279040168	7.1	7.1
	"Poisoning"	"GRINJ-015"	"2000"	"2000"	20229	281421906	7.2	7.2
	"Poisoning"	"GRINJ-015"	"2001"	"2001"	22242	284968955	7.8	7.8
	"Poisoning"	"GRINJ-015"	"2002"	"2002"	26435	287625193	9.2	9.2
	"Poisoning"	"GRINJ-015"	"2003"	"2003"	28700	290107933	9.9	9.9
	"Poisoning"	"GRINJ-015"	"2004"	"2004"	30308	292805298	10.4	10.3
	"Poisoning"	"GRINJ-015"	"2005"	"2005"	32691	295516599	11.1	11.0
	"Poisoning"	"GRINJ-015"	"2006"	"2006"	37286	298379912	12.5	12.4
	"Poisoning"	"GRINJ-015"	"2007"	"2007"	40059	301231207	13.3	13.2
	"Poisoning"	"GRINJ-015"	"2008"	"2008"	41080	304093966	13.5	13.4
	"Poisoning"	"GRINJ-015"	"2009"	"2009"	41592	306771529	13.6	13.4
	"Poisoning"	"GRINJ-015"	"2010"	"2010"	42916	308745538	13.9	13.7
	"Poisoning"	"GRINJ-015"	"2011"	"2011"	46047	311591917	14.8	14.6
	"Poisoning"	"GRINJ-015"	"2012"	"2012"	46150	313914040	14.7	14.6
	"Poisoning"	"GRINJ-015"	"2013"	"2013"	48545	316128839	15.4	15.2
	"Poisoning"	"GRINJ-015"	"2014"	"2014"	51966	318857056	16.3	16.2
	"Poisoning"	"GRINJ-015"	"2015"	"2015"	57567	321418820	17.9	17.9
	"Struck by or against"	"GRINJ-016"	"1999"	"1999"	1308	279040168	0.5	0.5
	"Struck by or against"	"GRINJ-016"	"2000"	"2000"	1292	281421906	0.5	0.5
	"Struck by or against"	"GRINJ-016"	"2001"	"2001"	1244	284968955	0.4	0.4
	"Struck by or against"	"GRINJ-016"	"2002"	"2002"	1182	287625193	0.4	0.4
	"Struck by or against"	"GRINJ-016"	"2003"	"2003"	1077	290107933	0.4	0.4
	"Struck by or against"	"GRINJ-016"	"2004"	"2004"	1013	292805298	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2005"	"2005"	1094	295516599	0.4	0.4
	"Struck by or against"	"GRINJ-016"	"2006"	"2006"	1061	298379912	0.4	0.3
	"Struck by or against"	"GRINJ-016"	"2007"	"2007"	1009	301231207	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2008"	"2008"	1060	304093966	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2009"	"2009"	910	306771529	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2010"	"2010"	912	308745538	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2011"	"2011"	947	311591917	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2012"	"2012"	985	313914040	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2013"	"2013"	936	316128839	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2014"	"2014"	1022	318857056	0.3	0.3
	"Struck by or against"	"GRINJ-016"	"2015"	"2015"	889	321418820	0.3	0.3
	"Suffocation"	"GRINJ-017"	"1999"	"1999"	11748	279040168	4.2	4.2
	"Suffocation"	"GRINJ-017"	"2000"	"2000"	12098	281421906	4.3	4.3
	"Suffocation"	"GRINJ-017"	"2001"	"2001"	12574	284968955	4.4	4.4
	"Suffocation"	"GRINJ-017"	"2002"	"2002"	12791	287625193	4.4	4.5
	"Suffocation"	"GRINJ-017"	"2003"	"2003"	12992	290107933	4.5	4.5
	"Suffocation"	"GRINJ-017"	"2004"	"2004"	14043	292805298	4.8	4.8
	"Suffocation"	"GRINJ-017"	"2005"	"2005"	13920	295516599	4.7	4.7
	"Suffocation"	"GRINJ-017"	"2006"	"2006"	14179	298379912	4.8	4.7
	"Suffocation"	"GRINJ-017"	"2007"	"2007"	14930	301231207	5.0	4.9
	"Suffocation"	"GRINJ-017"	"2008"	"2008"	15434	304093966	5.1	5.0
	"Suffocation"	"GRINJ-017"	"2009"	"2009"	15645	306771529	5.1	5.0
	"Suffocation"	"GRINJ-017"	"2010"	"2010"	16362	308745538	5.3	5.2
	"Suffocation"	"GRINJ-017"	"2011"	"2011"	16832	311591917	5.4	5.3
	"Suffocation"	"GRINJ-017"	"2012"	"2012"	16987	313914040	5.4	5.3
	"Suffocation"	"GRINJ-017"	"2013"	"2013"	17316	316128839	5.5	5.4
	"Suffocation"	"GRINJ-017"	"2014"	"2014"	18646	318857056	5.8	5.7
	"Suffocation"	"GRINJ-017"	"2015"	"2015"	19414	321418820	6.0	5.9
	"Other specified, classifiable Injury"	"GRINJ-018"	"1999"	"1999"	1958	279040168	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2000"	"2000"	1889	281421906	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2001"	"2001"	1992	284968955	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2002"	"2002"	2006	287625193	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2003"	"2003"	1930	290107933	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2004"	"2004"	2029	292805298	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2005"	"2005"	2043	295516599	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2006"	"2006"	2039	298379912	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2007"	"2007"	2076	301231207	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2008"	"2008"	1982	304093966	0.7	0.6
	"Other specified, classifiable Injury"	"GRINJ-018"	"2009"	"2009"	1966	306771529	0.6	0.6
