State,Year,Age Group,Gender,Deaths,Population,Crude Rate,rate_unreliable,code
Alaska,2010.0,35-44 years,Male,11.0,48377.0,22.7,1,AK
Alaska,2010.0,45-54 years,Male,18.0,57686.0,31.2,1,AK
Alaska,2011.0,25-34 years,Male,15.0,56017.0,26.8,1,AK
Alaska,2011.0,35-44 years,Female,12.0,44167.0,27.2,1,AK
Alaska,2011.0,35-44 years,Male,13.0,47600.0,27.3,1,AK
Alaska,2011.0,45-54 years,Female,11.0,52106.0,21.1,1,AK
Alaska,2011.0,45-54 years,Male,20.0,56531.0,35.4,0,AK
Alaska,2011.0,55-64 years,Male,10.0,47672.0,21.0,1,AK
Alaska,2012.0,25-34 years,Female,16.0,52591.0,30.4,1,AK
Alaska,2012.0,25-34 years,Male,19.0,59017.0,32.2,1,AK
Alaska,2012.0,35-44 years,Female,15.0,44138.0,34.0,1,AK
Alaska,2012.0,35-44 years,Male,11.0,47742.0,23.0,1,AK
Alaska,2012.0,45-54 years,Female,13.0,50459.0,25.8,1,AK
Alaska,2012.0,45-54 years,Male,22.0,54912.0,40.1,0,AK
Alaska,2012.0,55-64 years,Male,10.0,48243.0,20.7,1,AK
Alaska,2013.0,25-34 years,Male,20.0,62236.0,32.1,0,AK
Alaska,2013.0,35-44 years,Female,11.0,43593.0,25.2,1,AK
Alaska,2013.0,35-44 years,Male,20.0,47493.0,42.1,0,AK
Alaska,2013.0,45-54 years,Male,15.0,52569.0,28.5,1,AK
Alaska,2013.0,55-64 years,Male,13.0,48484.0,26.8,1,AK
Alaska,2014.0,25-34 years,Male,18.0,63892.0,28.2,1,AK
Alaska,2014.0,35-44 years,Female,12.0,43114.0,27.8,1,AK
Alaska,2014.0,35-44 years,Male,20.0,46968.0,42.6,0,AK
Alaska,2014.0,45-54 years,Female,13.0,46644.0,27.9,1,AK
Alaska,2014.0,45-54 years,Male,11.0,50830.0,21.6,1,AK
Alaska,2014.0,55-64 years,Female,11.0,44672.0,24.6,1,AK
Alaska,2014.0,55-64 years,Male,12.0,48291.0,24.8,1,AK
Alaska,2015.0,20-24 years,Male,10.0,36647.0,27.3,1,AK
Alaska,2015.0,25-34 years,Female,12.0,55213.0,21.7,1,AK
Alaska,2015.0,25-34 years,Male,22.0,65273.0,33.7,0,AK
Alaska,2015.0,35-44 years,Male,12.0,47139.0,25.5,1,AK
Alaska,2015.0,45-54 years,Female,11.0,45280.0,24.3,1,AK
Alaska,2015.0,45-54 years,Male,14.0,49160.0,28.5,1,AK
Alaska,2015.0,55-64 years,Male,13.0,48464.0,26.8,1,AK
Arizona,1999.0,20-24 years,Male,20.0,184588.0,10.8,0,AZ
Arizona,1999.0,25-34 years,Female,31.0,354781.0,8.7,0,AZ
Arizona,1999.0,25-34 years,Male,75.0,383757.0,19.5,0,AZ
Arizona,1999.0,35-44 years,Female,45.0,376826.0,11.9,0,AZ
Arizona,1999.0,35-44 years,Male,153.0,384610.0,39.8,0,AZ
Arizona,1999.0,45-54 years,Female,31.0,308541.0,10.0,0,AZ
Arizona,1999.0,45-54 years,Male,94.0,296226.0,31.7,0,AZ
Arizona,1999.0,55-64 years,Female,12.0,224305.0,5.3,1,AZ
Arizona,1999.0,55-64 years,Male,11.0,203442.0,5.4,1,AZ
Arizona,2000.0,20-24 years,Male,19.0,191136.0,9.9,1,AZ
Arizona,2000.0,25-34 years,Female,24.0,355573.0,6.7,0,AZ
Arizona,2000.0,25-34 years,Male,83.0,387073.0,21.4,0,AZ
Arizona,2000.0,35-44 years,Female,51.0,380122.0,13.4,0,AZ
Arizona,2000.0,35-44 years,Male,127.0,388625.0,32.7,0,AZ
Arizona,2000.0,45-54 years,Female,44.0,320064.0,13.7,0,AZ
Arizona,2000.0,45-54 years,Male,101.0,307750.0,32.8,0,AZ
Arizona,2000.0,55-64 years,Male,23.0,210400.0,10.9,0,AZ
Arizona,2001.0,20-24 years,Male,19.0,203093.0,9.4,1,AZ
Arizona,2001.0,25-34 years,Female,25.0,358817.0,7.0,0,AZ
Arizona,2001.0,25-34 years,Male,71.0,389750.0,18.2,0,AZ
Arizona,2001.0,35-44 years,Female,71.0,384454.0,18.5,0,AZ
Arizona,2001.0,35-44 years,Male,132.0,393437.0,33.6,0,AZ
Arizona,2001.0,45-54 years,Female,43.0,338869.0,12.7,0,AZ
Arizona,2001.0,45-54 years,Male,114.0,325535.0,35.0,0,AZ
Arizona,2001.0,55-64 years,Female,16.0,243300.0,6.6,1,AZ
Arizona,2001.0,55-64 years,Male,21.0,221049.0,9.5,0,AZ
Arizona,2002.0,15-19 years,Male,13.0,197399.0,6.6,1,AZ
Arizona,2002.0,20-24 years,Male,24.0,209127.0,11.5,0,AZ
Arizona,2002.0,25-34 years,Female,32.0,365794.0,8.7,0,AZ
Arizona,2002.0,25-34 years,Male,71.0,395513.0,18.0,0,AZ
Arizona,2002.0,35-44 years,Female,66.0,386601.0,17.1,0,AZ
Arizona,2002.0,35-44 years,Male,148.0,395476.0,37.4,0,AZ
Arizona,2002.0,45-54 years,Female,58.0,348079.0,16.7,0,AZ
Arizona,2002.0,45-54 years,Male,118.0,334374.0,35.3,0,AZ
Arizona,2002.0,55-64 years,Female,18.0,259998.0,6.9,1,AZ
Arizona,2002.0,55-64 years,Male,27.0,236953.0,11.4,0,AZ
Arizona,2003.0,15-19 years,Male,16.0,202553.0,7.9,1,AZ
Arizona,2003.0,20-24 years,Male,28.0,211198.0,13.3,0,AZ
Arizona,2003.0,25-34 years,Female,45.0,371862.0,12.1,0,AZ
Arizona,2003.0,25-34 years,Male,67.0,399473.0,16.8,0,AZ
Arizona,2003.0,35-44 years,Female,74.0,387295.0,19.1,0,AZ
Arizona,2003.0,35-44 years,Male,142.0,395903.0,35.9,0,AZ
Arizona,2003.0,45-54 years,Female,60.0,359021.0,16.7,0,AZ
Arizona,2003.0,45-54 years,Male,138.0,344210.0,40.1,0,AZ
Arizona,2003.0,55-64 years,Female,35.0,276088.0,12.7,0,AZ
Arizona,2003.0,55-64 years,Male,25.0,251298.0,9.9,0,AZ
Arizona,2004.0,15-19 years,Male,17.0,209474.0,8.1,1,AZ
Arizona,2004.0,20-24 years,Female,12.0,197927.0,6.1,1,AZ
Arizona,2004.0,20-24 years,Male,34.0,213772.0,15.9,0,AZ
Arizona,2004.0,25-34 years,Female,24.0,380982.0,6.3,0,AZ
Arizona,2004.0,25-34 years,Male,66.0,407448.0,16.2,0,AZ
Arizona,2004.0,35-44 years,Female,68.0,391058.0,17.4,0,AZ
Arizona,2004.0,35-44 years,Male,151.0,400602.0,37.7,0,AZ
Arizona,2004.0,45-54 years,Female,98.0,371124.0,26.4,0,AZ
Arizona,2004.0,45-54 years,Male,152.0,355246.0,42.8,0,AZ
Arizona,2004.0,55-64 years,Female,35.0,292897.0,11.9,0,AZ
Arizona,2004.0,55-64 years,Male,34.0,266773.0,12.7,0,AZ
Arizona,2004.0,65-74 years,Male,11.0,187751.0,5.9,1,AZ
Arizona,2005.0,15-19 years,Male,19.0,218017.0,8.7,1,AZ
Arizona,2005.0,20-24 years,Female,12.0,199191.0,6.0,1,AZ
Arizona,2005.0,20-24 years,Male,35.0,216575.0,16.2,0,AZ
Arizona,2005.0,25-34 years,Female,45.0,394203.0,11.4,0,AZ
Arizona,2005.0,25-34 years,Male,70.0,417722.0,16.8,0,AZ
Arizona,2005.0,35-44 years,Female,83.0,399004.0,20.8,0,AZ
Arizona,2005.0,35-44 years,Male,130.0,409089.0,31.8,0,AZ
Arizona,2005.0,45-54 years,Female,123.0,386004.0,31.9,0,AZ
Arizona,2005.0,45-54 years,Male,157.0,370020.0,42.4,0,AZ
Arizona,2005.0,55-64 years,Female,32.0,312274.0,10.2,0,AZ
Arizona,2005.0,55-64 years,Male,46.0,284720.0,16.2,0,AZ
Arizona,2006.0,15-19 years,Male,17.0,225967.0,7.5,1,AZ
Arizona,2006.0,20-24 years,Female,14.0,201354.0,7.0,1,AZ
Arizona,2006.0,20-24 years,Male,40.0,220164.0,18.2,0,AZ
Arizona,2006.0,25-34 years,Female,37.0,408459.0,9.1,0,AZ
Arizona,2006.0,25-34 years,Male,99.0,429955.0,23.0,0,AZ
Arizona,2006.0,35-44 years,Female,91.0,407003.0,22.4,0,AZ
Arizona,2006.0,35-44 years,Male,153.0,418806.0,36.5,0,AZ
Arizona,2006.0,45-54 years,Female,115.0,400386.0,28.7,0,AZ
Arizona,2006.0,45-54 years,Male,152.0,384152.0,39.6,0,AZ
Arizona,2006.0,55-64 years,Female,39.0,331379.0,11.8,0,AZ
Arizona,2006.0,55-64 years,Male,58.0,301884.0,19.2,0,AZ
Arizona,2006.0,65-74 years,Female,15.0,222101.0,6.8,1,AZ
Arizona,2006.0,75-84 years,Female,11.0,149563.0,7.4,1,AZ
Arizona,2007.0,15-19 years,Male,27.0,232399.0,11.6,0,AZ
Arizona,2007.0,20-24 years,Female,14.0,204621.0,6.8,1,AZ
Arizona,2007.0,20-24 years,Male,40.0,224031.0,17.9,0,AZ
Arizona,2007.0,25-34 years,Female,50.0,415189.0,12.0,0,AZ
Arizona,2007.0,25-34 years,Male,100.0,436048.0,22.9,0,AZ
Arizona,2007.0,35-44 years,Female,84.0,410351.0,20.5,0,AZ
Arizona,2007.0,35-44 years,Male,138.0,421172.0,32.8,0,AZ
Arizona,2007.0,45-54 years,Female,124.0,411336.0,30.1,0,AZ
Arizona,2007.0,45-54 years,Male,187.0,396466.0,47.2,0,AZ
Arizona,2007.0,55-64 years,Female,43.0,345568.0,12.4,0,AZ
Arizona,2007.0,55-64 years,Male,67.0,314829.0,21.3,0,AZ
Arizona,2007.0,65-74 years,Female,18.0,230851.0,7.8,1,AZ
Arizona,2007.0,65-74 years,Male,21.0,208734.0,10.1,0,AZ
Arizona,2008.0,15-19 years,Male,14.0,236980.0,5.9,1,AZ
Arizona,2008.0,20-24 years,Male,44.0,226581.0,19.4,0,AZ
Arizona,2008.0,25-34 years,Female,44.0,418977.0,10.5,0,AZ
Arizona,2008.0,25-34 years,Male,83.0,439681.0,18.9,0,AZ
Arizona,2008.0,35-44 years,Female,75.0,410415.0,18.3,0,AZ
Arizona,2008.0,35-44 years,Male,118.0,421296.0,28.0,0,AZ
Arizona,2008.0,45-54 years,Female,116.0,419758.0,27.6,0,AZ
Arizona,2008.0,45-54 years,Male,159.0,405720.0,39.2,0,AZ
Arizona,2008.0,55-64 years,Female,56.0,357174.0,15.7,0,AZ
Arizona,2008.0,55-64 years,Male,60.0,325075.0,18.5,0,AZ
Arizona,2008.0,65-74 years,Female,20.0,243142.0,8.2,0,AZ
Arizona,2009.0,15-19 years,Male,28.0,237592.0,11.8,0,AZ
Arizona,2009.0,20-24 years,Female,10.0,210866.0,4.7,1,AZ
Arizona,2009.0,20-24 years,Male,50.0,228031.0,21.9,0,AZ
Arizona,2009.0,25-34 years,Female,58.0,419959.0,13.8,0,AZ
Arizona,2009.0,25-34 years,Male,131.0,439335.0,29.8,0,AZ
Arizona,2009.0,35-44 years,Female,85.0,407826.0,20.8,0,AZ
Arizona,2009.0,35-44 years,Male,120.0,417962.0,28.7,0,AZ
Arizona,2009.0,45-54 years,Female,148.0,424417.0,34.9,0,AZ
Arizona,2009.0,45-54 years,Male,175.0,411600.0,42.5,0,AZ
Arizona,2009.0,55-64 years,Female,66.0,369577.0,17.9,0,AZ
Arizona,2009.0,55-64 years,Male,74.0,335251.0,22.1,0,AZ
Arizona,2009.0,65-74 years,Female,10.0,253922.0,3.9,1,AZ
Arizona,2009.0,65-74 years,Male,16.0,229260.0,7.0,1,AZ
Arizona,2009.0,75-84 years,Female,14.0,151749.0,9.2,1,AZ
Arizona,2010.0,15-19 years,Female,11.0,224302.0,4.9,1,AZ
Arizona,2010.0,15-19 years,Male,25.0,237280.0,10.5,0,AZ
Arizona,2010.0,20-24 years,Female,25.0,213022.0,11.7,0,AZ
Arizona,2010.0,20-24 years,Male,65.0,229562.0,28.3,0,AZ
Arizona,2010.0,25-34 years,Female,76.0,418862.0,18.1,0,AZ
Arizona,2010.0,25-34 years,Male,129.0,437831.0,29.5,0,AZ
Arizona,2010.0,35-44 years,Female,95.0,406371.0,23.4,0,AZ
Arizona,2010.0,35-44 years,Male,131.0,416123.0,31.5,0,AZ
Arizona,2010.0,45-54 years,Female,133.0,427636.0,31.1,0,AZ
Arizona,2010.0,45-54 years,Male,176.0,414910.0,42.4,0,AZ
Arizona,2010.0,55-64 years,Female,94.0,380609.0,24.7,0,AZ
Arizona,2010.0,55-64 years,Male,82.0,345619.0,23.7,0,AZ
Arizona,2010.0,65-74 years,Female,17.0,261665.0,6.5,1,AZ
Arizona,2010.0,65-74 years,Male,13.0,236227.0,5.5,1,AZ
Arizona,2010.0,75-84 years,Female,11.0,152809.0,7.2,1,AZ
Arizona,2011.0,15-19 years,Male,19.0,233431.0,8.1,1,AZ
Arizona,2011.0,20-24 years,Female,20.0,222528.0,9.0,0,AZ
Arizona,2011.0,20-24 years,Male,70.0,240200.0,29.1,0,AZ
Arizona,2011.0,25-34 years,Female,67.0,421373.0,15.9,0,AZ
Arizona,2011.0,25-34 years,Male,133.0,443838.0,30.0,0,AZ
Arizona,2011.0,35-44 years,Female,105.0,407254.0,25.8,0,AZ
Arizona,2011.0,35-44 years,Male,121.0,416063.0,29.1,0,AZ
Arizona,2011.0,45-54 years,Female,141.0,426714.0,33.0,0,AZ
Arizona,2011.0,45-54 years,Male,146.0,416469.0,35.1,0,AZ
